"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"17214949","2019-12-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17214948","2019-12-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17214947","2019-12-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17214946","2019-12-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17214945","2019-12-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17214944","2019-12-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17214943","2019-12-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17214942","2019-12-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17214941","2019-12-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17214940","2019-12-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17214939","2019-12-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17214938","2019-12-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17214937","2019-12-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17214936","2019-12-30",NA,0.828205128205128,NA,NA,NA,NA,NA,NA,NA,NA,24.3989285714286,NA,NA
"17214935","2019-12-31",NA,0.347826086956523,NA,NA,NA,NA,NA,NA,66.9172932330827,NA,24.4070714285714,NA,NA
"17214934","2020-01-02",NA,0.350993377483444,0.509008197548365,NA,NA,NA,NA,NA,67.8290213723285,NA,24.4234619047619,NA,NA
"17214933","2020-01-03",NA,0.159722222222222,0.28618056222073,NA,NA,NA,NA,NA,61.802270577105,NA,24.4070003174603,NA,NA
"17214932","2020-01-06",NA,0.083333333333334,0.198016311013,0.331068356927365,NA,NA,NA,NA,59.0977626741206,NA,24.3780669417989,NA,NA
"17214931","2020-01-07",NA,0.207342657342658,0.150132737632738,0.211443203622156,NA,NA,NA,NA,62.1241018393606,NA,24.3778580162258,NA,NA
"17214930","2020-01-08",NA,0.0492424242424225,0.113306138306138,0.153818395650625,25.3289332028837,23.715603463783,24.5222683333333,0.391155749249034,59.0583703273331,NA,24.3614769473957,NA,NA
"17214929","2020-01-09",NA,0.0984848484848477,0.118356643356643,0.127265173098506,25.2895028233763,23.8163671766237,24.552935,0.39844678119327,60.1902118528148,NA,24.3559466877429,NA,NA
"17214928","2020-01-10",NA,0.0984848484848477,0.082070707070706,0.104577829577829,25.2812890051288,23.8502476615378,24.5657683333333,0.377174524607185,60.1902118528148,NA,24.3511537960438,NA,NA
"17214927","2020-01-13",NA,0.121212121212121,0.106060606060606,0.102162652162651,25.2695650035779,23.8969449964221,24.583255,0.40777612691539,60.7707197111251,NA,24.3509999565713,NA,NA
"17214926","2020-01-14",NA,0.113636363636363,0.111111111111111,0.099747474747474,25.2642903026343,23.9203596973657,24.592325,0.364309710175187,60.4542671417848,NA,24.3495332956952,NA,NA
"17214925","2020-01-15",NA,0.106870229007631,0.113906237952038,0.110359318374585,25.2558691090314,23.952354224302,24.6041116666667,0.36827026781338,60.1171372807893,24.37426,24.3469288562691,NA,NA
"17214924","2020-01-16",NA,0.12295081967213,0.114485804105375,0.113167717722841,25.247026269494,23.9791970638393,24.6131116666667,0.316133225495233,60.3552271290045,24.40546,24.3460050087666,-0.0536260102191322,NA
"17214923","2020-01-17",NA,0.174999999999998,0.13494034955992,0.121110797205778,25.2463840449386,23.9888392883947,24.6176116666667,0.390571157845014,61.827672299013,24.42546,24.353204340931,-0.0365169314047731,NA
"17214922","2020-01-21",14.3899458739554,0.302439024390243,0.20012994802079,0.149852033895362,25.2468616193629,24.0033617139704,24.6251116666667,0.439596564228955,64.2133289128262,24.44546,24.3727770954736,0.010023579703744,NA
"17214921","2020-01-22",15.1467302530257,0.401821591213499,0.293086871867913,0.209385723149541,25.2475141619656,24.0077091713678,24.6276116666667,0.426645721956515,63.7840337910466,24.46106,24.3884068160771,0.0430765376374431,NA
"17214920","2020-01-23",16.2332634409596,0.361166666666667,0.35514242742347,0.282786415770724,25.2223608357515,23.9981424975818,24.6102516666667,0.42175823787838,60.1751128623485,24.474528,24.3908459072668,0.0412399713402678,NA
"17214919","2020-01-24",17.2802655737523,0.654545454545457,0.472511237475208,0.373580178922197,25.1399542045388,24.0255491287946,24.5827516666667,0.527442145887787,63.9535622599997,24.493328,24.4120664529646,0.0861544980024442,NA
"17214918","2020-01-27",18.7302933263323,0.447154471544717,0.487622197585614,0.438425287494764,25.0689718467898,24.0521981532102,24.560585,0.581383235872287,63.054390053654,24.501728,24.4277909259026,0.113796825572332,NA
"17214917","2020-01-28",20.309531486365,0.621617668568085,0.57443919821942,0.511524211093414,24.9454583107221,24.1266683559446,24.5360633333333,0.781109946033176,66.8220650446513,24.516928,24.461418802449,0.183047058958263,NA
"17214916","2020-01-29",21.9778467847092,0.514705882352943,0.527826007488582,0.529962467764538,24.7890198292253,24.2364401707747,24.51273,0.983676870678569,66.3363788305781,24.526528,24.4892296287891,0.231857913314615,0.068783715878356
"17214915","2020-01-30",24.2016332289245,0.445652173913045,0.527325241611358,0.54319681577312,24.835294916542,24.2089984167913,24.5221466666667,1.10331381938702,67.8464610618578,24.531728,24.5213323449505,0.286893128790666,0.112405598460818
"17214914","2020-01-31",26.2665777842673,0.934065934065936,0.631474663443974,0.562208637514638,24.9731109107784,24.1236290892216,24.54837,1.25531928255283,76.3978589573713,24.539328,24.6091546989571,0.472571317842108,0.184438742337076
"17214913","2020-02-03",25.14992494729,0.413296703296704,0.597671603758561,0.585490502937964,25.0144257340227,24.1233875993107,24.5689066666667,0.842476924513019,58.6942198642414,24.532372,24.6220807390962,0.458740268304192,0.239299047530499
"17214912","2020-02-04",24.1130330272397,0.653956043956046,0.667106227106229,0.632084164769588,25.0697981987513,24.1397584679154,24.6047783333333,0.932943869653925,62.9652520357072,24.522176,24.6624833072167,0.513475610448344,0.294134360114068
"17214911","2020-02-05",22.9154194861658,0.6,0.555750915750917,0.606842915538569,25.1185812254907,24.147685441176,24.6331333333333,0.865607382791574,61.5537114543482,24.510376,24.6914855329211,0.535776265974386,0.342462741286132
"17214910","2020-02-06",21.8033497694544,0.702380952380952,0.652112332112333,0.624989824989826,25.1627104944966,24.17155617217,24.6671333333333,0.86274203243081,63.6916711295503,24.531576,24.731287461865,0.582505479409079,0.390471288910721
"17214909","2020-02-07",21.4511859004006,0.656112889837544,0.652831280739498,0.620231509534249,25.2074981719268,24.1921018280732,24.6998,0.851455536379341,62.6681305142422,24.548776,24.7617824669497,0.602645702241777,0.432906171576932
"17214908","2020-02-10",21.2105636349116,0.803081200046336,0.720525014088277,0.675156208980036,25.261993885601,24.2142727810656,24.7381333333333,0.899470175337282,65.4578662311469,24.580776,24.806878138023,0.656442637594945,0.477613464780535
"17214907","2020-02-11",21.1214888986831,0.934288592857941,0.79782756091394,0.723727951913905,25.3322095919995,24.2244770746671,24.7783433333333,0.935595530313876,68.0527373132726,24.622828,24.8648010529533,0.736186675744688,0.529328106973366
"17214906","2020-02-12",21.4741336045545,0.816091954022988,0.851153915642421,0.789835496881546,25.3924828344657,24.2525404988676,24.8225116666667,0.913022353819001,68.0021228112278,24.657368,24.9148275792262,0.789492597867603,0.581361005152213
"17214905","2020-02-13",21.1622331666767,0.708965517241379,0.819782021374102,0.822921165976821,25.4212539152648,24.2989227514019,24.8600883333333,0.788546741307064,64.3092845144641,24.69304,24.9457572353294,0.792207435433556,0.623530291208482
"17214904","2020-02-14",20.1410964211343,0.493150684931508,0.672736052065292,0.781223996360605,25.4193637849133,24.3718128817534,24.8955883333333,0.685586844591732,59.9178571116977,24.72144,24.9569896039521,0.74789237555255,0.648402708077295
"17214903","2020-02-18",18.7815601847376,0.356164383561643,0.51942686191151,0.670648311783634,25.4077991361394,24.4314175305273,24.9196083333333,0.541778405525254,56.3688025233464,24.74584,24.9533909900918,0.672689594998532,0.653260085461543
"17214902","2020-02-19",17.524259691804,0.322668972474421,0.39066134698919,0.527608086988664,25.3985952981527,24.482621368514,24.9406083333333,0.532087885599817,56.3688025233464,24.76904,24.9502721914129,0.60611326968536,0.643830722306306
"17214901","2020-02-20",18.3900071854034,0,0.226277785345354,0.378788664748685,25.3910618355559,24.4967214977774,24.9438916666667,0.118089088789457,41.5747996712436,24.77192,24.8785025658912,0.381228492994445,0.591310276443934
"17214900","2020-02-21",19.1939155723171,0.230769230769232,0.184479401081218,0.267139511138587,25.3705936535766,24.5364096797568,24.9535016666667,0.20410004537761,48.0389914402536,24.78432,24.8467022237724,0.27359441915229,0.527767104985605
"17214899","2020-02-24",19.1861588245708,0.119433198380569,0.116734143049934,0.175830443158835,25.3642345719716,24.549102094695,24.9566683333333,0.156495509046379,45.4275752080593,24.79192,24.8044752606027,0.150715351954389,0.452356754379362
"17214898","2020-04-03",23.8620820541106,0,0.116734143049934,0.139315895727028,27.5413130801713,21.7460235864953,24.6436683333333,-0.580245431540823,10.398131656762,24.54392,23.923878559189,-2.0264019233333,-0.0433949811631701
"17214897","2020-04-06",26.9681519875041,0.108861111111111,0.0760981031638932,0.103188796421253,28.118382606407,20.607917393593,24.36315,-0.193336988559501,18.7524354986163,24.323272,23.2652014179638,-3.51053173170988,-0.736822331272511
"17214896","2020-04-07",28.5229954010071,0.144986111111111,0.0846157407407406,0.0924826623181891,28.3799596690205,19.8322669976462,24.1061133333333,-0.0225792314253225,21.3723567387698,24.113428,22.7290278955687,-4.5863817410894,-1.50673421323589
"17214895","2020-04-08",28.8523369365745,0.252777777777778,0.168875,0.109862947968211,28.4229902628244,19.3452364038422,23.8841133333333,0.122801698908673,28.754729012858,23.93796,22.3678241761595,-5.13070077592824,-2.23152752577436
"17214894","2020-04-09",27.9611274028774,0.409722222222222,0.269162037037037,0.174217592592592,28.3062314756539,19.1029951910128,23.7046133333333,0.271318124598664,37.8974517135046,23.80196,22.2054476193382,-5.10583080601461,-2.80638818182241
"17214893","2020-04-13",27.1335756930158,0.446722222222222,0.369740740740741,0.269259259259259,28.1917896043899,18.9077903956101,23.54979,0.30911351238332,39.8569522979537,23.677416,22.1002412700931,-4.93579440373468,-3.23226942620486
"17214892","2020-04-14",26.3546866085784,0.491626760363833,0.449357068269425,0.362753282015734,28.0382114863948,18.7556251802718,23.3969183333333,0.344125517865758,41.7414489378238,23.557016,22.0428757674141,-4.65625882117787,-3.51706730519947
