"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"17319885","2014-07-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17319884","2014-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17319883","2014-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17319882","2014-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17319881","2014-08-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17319880","2014-08-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17319879","2014-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17319878","2014-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17319877","2014-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17319876","2014-08-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17319875","2014-08-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17319874","2014-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17319873","2014-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17319872","2014-08-15",NA,0.684444444444445,NA,NA,NA,NA,NA,NA,NA,NA,20.0541428571429,NA,NA
"17319871","2014-08-18",NA,0.322580645161289,NA,NA,NA,NA,NA,NA,64.2585551330796,NA,20.0669238095238,NA,NA
"17319870","2014-08-19",NA,0.435483870967741,0.480836320191158,NA,NA,NA,NA,NA,68.7388078792528,NA,20.087333968254,NA,NA
"17319869","2014-08-20",NA,0.564516129032259,0.440860215053763,NA,NA,NA,NA,NA,72.9171283904733,NA,20.1156894391534,NA,NA
"17319868","2014-08-21",NA,0.483870967741936,0.494623655913978,0.4721067303863,NA,NA,NA,NA,66.8987572505747,NA,20.133597513933,NA,NA
"17319867","2014-08-22",NA,0.629032258064516,0.559139784946237,0.498207885304659,NA,NA,NA,NA,71.464324601332,NA,20.1611178454086,NA,NA
"17319866","2014-08-25",NA,0.327272727272726,0.480058651026393,0.511274030628869,20.4001094603952,19.9180905396048,20.1591,0.792312176810275,58.0511521591997,NA,20.1663021326874,NA,NA
"17319865","2014-08-26",NA,0.487272727272728,0.48119257086999,0.506797002280873,20.4309035469952,19.9171631196715,20.1740333333333,0.904808840429555,62.7800247613292,NA,20.1825285149958,NA,NA
"17319864","2014-08-27",NA,0,0.271515151515151,0.410922124470511,20.4313267389899,19.9157399276768,20.1735333333333,0.260402456729403,44.9291271931382,NA,20.158191379663,NA,NA
"17319863","2014-08-28",NA,0,0.162424242424242,0.305043988269794,20.4321714123061,19.9135619210273,20.1728666666667,0.205237429631816,44.9291271931382,NA,20.137099195708,NA,NA
"17319862","2014-08-29",NA,0.0175438596491255,0.00584795321637499,0.146595782385256,20.4319574234533,19.9141092432134,20.1730333333333,0.217356027786248,45.5525646365315,NA,20.1201526362802,NA,NA
"17319861","2014-09-02",NA,0,0.00584795321637499,0.0580400496189974,20.4334347924856,19.9102985408477,20.1718666666667,0.196955940566206,45.003901512917,20.10064,20.1041322847762,NA,NA
"17319860","2014-09-03",NA,0,0.00584795321637499,0.00584795321637497,20.4329408590067,19.9114591409933,20.1722,0.195355251816167,45.003901512917,20.10064,20.0902479801394,-0.038362486637511,NA
"17319859","2014-09-04",NA,0,-1.89663100040131e-16,0.00389863547758324,20.4347136275944,19.9066863724056,20.1707,0.20197245479232,45.003901512917,20.09984,20.0782149161208,-0.0708974143406427,NA
"17319858","2014-09-05",35.5744630478993,0,-1.89663100040131e-16,0.00194931773879152,20.436780450477,19.9009528828564,20.1688666666667,0.203511584198393,45.003901512917,20.09944,20.067786260638,-0.0956006545395072,NA
"17319857","2014-09-08",33.8702186021709,0,-1.89663100040131e-16,-2.08455937696546e-16,20.439718078121,19.8920152552123,20.1658666666667,0.203245397805065,45.003901512917,20.09904,20.058748092553,-0.113882070054039,NA
"17319856","2014-09-09",31.9759269923188,0,-1.89663100040131e-16,-2.08455937696546e-16,20.4416391502513,19.8777608497487,20.1597,0.234517182401687,45.003901512917,20.09864,20.0509150135459,-0.12692036034917,NA
"17319855","2014-09-10",30.2169419260276,0,-1.89663100040131e-16,-2.08455937696546e-16,20.4422804792544,19.8621195207456,20.1522,0.24340454233715,45.003901512917,20.10064,20.0441263450731,-0.135699485511609,NA
"17319854","2014-09-11",29.6657558962702,0,-1.89663100040131e-16,-2.08455937696546e-16,20.4411802896042,19.8555530437292,20.1483666666667,0.349107658004125,45.003901512917,20.09984,20.0382428323967,-0.141039464560222,NA
"17319853","2014-09-12",30.0372270810757,0,-1.89663100040131e-16,-2.08455937696546e-16,20.4844858811414,19.7589141188586,20.1217,-0.145513911943127,21.537779192801,20.07864,19.9664771214105,-0.343124787712534,NA
"17319852","2014-09-15",30.3821646098237,0.0186915887850463,0.00623052959501525,0.00207684319833827,20.5051873205219,19.6670126794781,20.0861,-0.0879045279310934,23.2614309865646,20.05864,19.9069468385557,-0.490250608616394,-0.172864148035736
"17319851","2014-09-16",29.2761190334176,0.0147058823529435,0.0111324903793297,0.00578767332478158,20.5040388773432,19.6031611226568,20.0536,0.040892204465685,22.9894910549755,20.03584,19.854020593415,-0.604486264966853,-0.25918857142196
"17319850","2014-09-17",27.8595406822078,0.264705882352941,0.0993677844969767,0.0389102681571072,20.4810298524159,19.5745034809174,20.0277666666667,0.215654530556489,36.5661068244925,20.01904,19.8308178476263,-0.619054407302544,-0.331161738598077
"17319849","2014-09-18",26.7366199176893,0.220588235294116,0.166666666666666,0.0923889805143243,20.4467412725943,19.5471253940723,19.9969333333333,0.18845962664963,35.3807064749231,20.00104,19.8067088012761,-0.63560783980009,-0.392050958838479
"17319848","2014-09-19",25.6939077792079,0.36764705882353,0.284313725490195,0.183449392217946,20.4074632075335,19.5347367924665,19.9711,0.284850483009314,42.1167191416219,19.98504,19.7991476277727,-0.601111670569354,-0.433863101184654
"17319847","2014-09-22",26.0387243407546,0.0294117647058817,0.205882352941175,0.218954248366012,20.3569735859095,19.5118597474238,19.9344166666667,0.135453450998544,33.4738351787511,19.95552,19.7619279440696,-0.660086007001892,-0.479107682348102
"17319846","2014-09-23",26.421318938507,0.010294117647061,0.135784313725491,0.208660130718954,20.3104251737062,19.4888748262938,19.89965,0.140943084909593,33.0608651222221,19.9298,19.727937551527,-0.704276058451103,-0.524141357568702
"17319845","2014-09-24",26.7765853507057,0.117647058823527,0.0524509803921564,0.131372549019607,20.2224224124138,19.5040109209195,19.8632166666667,0.207850812774782,37.7082417586535,19.9042,19.7082125446568,-0.701508718424781,-0.559614829739918
"17319844","2014-09-25",27.9674817196713,0,0.0426470588235291,0.0769607843137254,20.214256850841,19.4594764824924,19.8368666666667,0.0841615921286147,31.5655756059665,19.8678,19.6657842053692,-0.768513284637462,-0.601394520719427
"17319843","2014-09-26",29.7442293818931,0,0.0392156862745088,0.0447712418300648,20.2289780109086,19.3759886557581,19.8024833333333,-0.0511792112775677,26.6451767077966,19.8254,19.60234631132,-0.893990509393172,-0.659913718454176
