"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"17327431","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17327430","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17327429","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17327428","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17327427","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17327426","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17327425","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17327424","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17327423","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17327422","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17327421","2001-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17327420","2001-08-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17327419","2001-08-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17327418","2001-08-22",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2.27428571428571,NA,NA
"17327417","2001-08-23",NA,0.0181818181818178,NA,NA,NA,NA,NA,NA,29.9319727891156,NA,2.23904761904762,NA,NA
"17327416","2001-08-24",NA,0,0.00606060606060593,NA,NA,NA,NA,NA,28.874305906108,NA,2.20184126984127,NA,NA
"17327415","2001-08-27",NA,0,0.00606060606060593,NA,NA,NA,NA,NA,25.7399010003808,NA,2.14826243386243,NA,NA
"17327414","2001-08-28",NA,0.0307692307692308,0.0102564102564103,0.00745920745920738,NA,NA,NA,NA,26.8094319568555,NA,2.10449410934744,NA,NA
"17327413","2001-08-29",NA,0.307692307692308,0.112820512820513,0.043045843045843,NA,NA,NA,NA,35.7748429471151,NA,2.09056156143445,NA,NA
"17327412","2001-08-30",NA,0.307692307692308,0.215384615384615,0.112820512820513,2.61875012783798,1.80391653882868,2.21133333333333,0.281550487853087,35.7748429471151,NA,2.07848668657652,NA,NA
"17327411","2001-08-31",NA,0.390625,0.335336538461538,0.221180555555555,2.54033655187014,1.8239967814632,2.18216666666667,0.338763663876449,38.2130938879333,NA,2.07468846169965,NA,NA
