"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"17333413","2015-06-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17333412","2015-06-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17333411","2015-06-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17333410","2015-07-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17333409","2015-07-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17333408","2015-07-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17333407","2015-07-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17333406","2015-07-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17333405","2015-07-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17333404","2015-07-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17333403","2015-07-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17333402","2015-07-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17333401","2015-07-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17333400","2015-07-16",NA,0.166666666666669,NA,NA,NA,NA,NA,NA,NA,NA,19.9971428571429,NA,NA
"17333399","2015-07-17",NA,0.166666666666669,NA,NA,NA,NA,NA,NA,50,NA,19.9975238095238,NA,NA
"17333398","2015-07-20",NA,0.200000000000003,0.17777777777778,NA,NA,NA,NA,NA,50,NA,19.997853968254,NA,NA
"17333397","2015-07-21",NA,0.277777777777782,0.214814814814818,NA,NA,NA,NA,NA,50,NA,19.9981401058201,NA,NA
"17333396","2015-07-22",NA,0.277777777777782,0.251851851851856,0.214814814814818,NA,NA,NA,NA,50,NA,19.9983880917108,NA,NA
"17333395","2015-07-23",NA,0.277777777777782,0.277777777777782,0.248148148148152,NA,NA,NA,NA,50,NA,19.998603012816,NA,NA
"17333394","2015-07-24",NA,0.277777777777782,0.277777777777782,0.26913580246914,20.0586920501208,19.9748412832125,20.0167666666667,0.347745379829126,50,NA,19.9987892777739,NA,NA
"17333393","2015-07-27",NA,0.277777777777782,0.277777777777782,0.277777777777782,20.0586734406564,19.9741932260102,20.0164333333333,0.344934106111573,50,NA,19.998950707404,NA,NA
"17333392","2015-07-28",NA,0,0.185185185185188,0.246913580246917,20.0417626763205,19.9835706570128,20.0126666666667,0.419805727277009,50,NA,19.9990906130835,NA,NA
"17333391","2015-07-29",NA,0,0.0925925925925941,0.185185185185188,20.0489873999548,19.9780126000451,20.0135,1.48391729771953,50,NA,19.9992118646724,NA,NA
"17333390","2015-07-30",NA,0,3.70074341541719e-17,0.0925925925925941,20.0489784981917,19.977688168475,20.0133333333333,0.35972852082831,50,NA,19.9993169493827,NA,NA
"17333389","2015-07-31",NA,0,3.70074341541719e-17,0.0308641975308647,20.0491827007644,19.9784839659022,20.0138333333333,0.492927737660743,50,19.9984,19.9994080227983,NA,NA
"17333388","2015-08-03",NA,0,3.70074341541719e-17,4.62592926927149e-17,20.0491827007644,19.9784839659022,20.0138333333333,0.351482490875302,50,19.9984,19.9994869530919,0.00608531862598127,NA
"17333387","2015-08-04",NA,0,3.70074341541719e-17,4.62592926927149e-17,20.0491124198061,19.9778875801939,20.0135,0.35725953583014,50,19.9984,19.9995553593463,0.00576276151058597,NA
"17333386","2015-08-05",100,0,3.70074341541719e-17,4.62592926927149e-17,20.0490278186591,19.9773055146743,20.0131666666667,0.362897135381869,50,19.9984,19.9996146447668,0.0054443717681707,NA
"17333385","2015-08-06",100,0,3.70074341541719e-17,4.62592926927149e-17,20.0485974643509,19.9767358689825,20.0126666666667,0.416506167595654,50,19.9984,19.9996660254646,0.00513287573851162,NA
"17333384","2015-08-07",100,0,3.70074341541719e-17,4.62592926927149e-17,20.0460094883409,19.9763238449924,20.0111666666667,0.387590428143757,50,19.9984,19.9997105554026,0.00483033082094853,NA
