"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"17349754","2001-07-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17349753","2001-07-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17349752","2001-07-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17349751","2001-07-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17349750","2001-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17349749","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17349748","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17349747","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17349746","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17349745","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17349744","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17349743","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17349742","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17349741","2001-08-10",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,16.2914285714286,NA,NA
"17349740","2001-08-13",NA,0.107142857142857,NA,NA,NA,NA,NA,NA,46.0975609756098,NA,16.2125714285714,NA,NA
"17349739","2001-08-14",NA,0,0.0357142857142856,NA,NA,NA,NA,NA,42.7304347826087,NA,16.1042285714286,NA,NA
"17349738","2001-08-15",NA,0,0.0357142857142856,NA,NA,NA,NA,NA,41.5325202194887,NA,15.9956647619048,NA,NA
"17349737","2001-08-16",NA,0,0,0.0238095238095237,NA,NA,NA,NA,38.9658175320983,NA,15.8695761269841,NA,NA
"17349736","2001-08-17",NA,0,0,0.0119047619047619,NA,NA,NA,NA,34.6428068557734,NA,15.7002993100529,NA,NA
"17349735","2001-08-20",NA,0,0,0,17.6085289488815,14.6838043844519,16.1461666666667,-0.0514479390464896,32.4864671541472,NA,15.5202594020459,NA,NA
"17349734","2001-08-21",NA,0,0,0,17.6966518977152,14.3770147689515,16.0368333333333,-0.025208006891194,30.7547374749842,NA,15.3362248151064,NA,NA
"17349733","2001-08-22",NA,0,0,0,17.8102658168718,14.0067341831282,15.9085,-0.0412075403127094,26.4833587608609,NA,15.0980615064256,NA,NA
"17349732","2001-08-23",NA,0,0,0,17.9230023560733,13.58433097726,15.7536666666667,-0.0417172973299055,23.2944961549794,NA,14.8196533055688,NA,NA
"17349731","2001-08-24",NA,0,0,0,17.9581366986304,13.1891966347029,15.5736666666667,-0.0012294768420154,22.6950132631996,NA,14.563699531493,NA,NA
"17349730","2001-08-27",NA,0.0324999999999998,0.0108333333333333,0.00361111111111109,17.7938764631578,12.9254568701755,15.3596666666667,0.0536539202306322,25.1467262194301,15.404,14.3592062606272,NA,NA
