"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"17660630","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17660629","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17660628","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17660627","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17660626","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17660625","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17660624","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17660623","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17660622","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17660621","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17660620","2001-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17660619","2001-08-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17660618","2001-08-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17660617","2001-08-22",NA,0.405622489959841,NA,NA,NA,NA,NA,NA,NA,NA,43.0828571428572,NA,NA
"17660616","2001-08-23",NA,0.425531914893617,NA,NA,NA,NA,NA,NA,68.6274509803922,NA,43.1118095238095,NA,NA
"17660615","2001-08-24",NA,0.582978723404257,0.471377709419238,NA,NA,NA,NA,NA,72.2419928825623,NA,43.1862349206349,NA,NA
"17660614","2001-08-27",NA,0.574468085106383,0.527659574468086,NA,NA,NA,NA,NA,71.7607070020394,NA,43.2480702645503,NA,NA
"17660613","2001-08-28",NA,0.337606837606838,0.498351215372493,0.499129499753272,NA,NA,NA,NA,59.9353598881901,NA,43.2283275626102,NA,NA
"17660612","2001-08-29",NA,0,0.30402497423774,0.443345254692773,NA,NA,NA,NA,50.2140331914702,NA,43.1312172209289,NA,NA
"17660611","2001-08-30",NA,0,0.112535612535613,0.304970600715282,44.5407163793177,41.9412836206823,43.241,0.116198317362741,43.175233923938,NA,42.9723882581384,NA,NA
"17660610","2001-08-31",NA,0,-1.85037170770859e-17,0.138853528924451,44.5625832056094,41.8984167943906,43.2305,0.08192051042947,42.7146518893605,NA,42.8294031570532,NA,NA
"17660609","2001-09-04",NA,0,-1.85037170770859e-17,0.0375118708452042,44.6145088941081,41.7911577725585,43.2028333333333,0.057440804842512,40.3943342724847,NA,42.6788160694461,NA,NA
"17660608","2001-09-05",NA,0,-1.85037170770859e-17,-9.25185853854297e-18,44.6725309531204,41.6751357135462,43.1738333333333,0.0438817515234117,39.3582303302349,NA,42.5363072601867,NA,NA
"17660607","2001-09-06",NA,0,-1.85037170770859e-17,-9.25185853854297e-18,44.78618048453,41.4591528488033,43.1226666666667,-0.0288003365048905,33.410677354711,NA,42.3354662921618,NA,NA
"17660606","2001-09-07",NA,0,-1.85037170770859e-17,-9.25185853854297e-18,44.9702936230807,41.0950397102527,43.0326666666667,-0.0744139739157223,28.7344989854816,42.7204,42.0840707865402,NA,NA
"17660605","2001-09-10",NA,0.0253164556962011,0.00843881856540035,0.00281293952180012,45.0554091704138,40.8079241629195,42.9316666666667,0.0538536341725877,30.5395929010313,42.656,41.8795280150015,-2.06353349963888,NA
"17660604","2001-09-17",NA,0,0.00843881856540035,0.00562587904360024,46.4018306687193,38.7188359979473,42.5603333333333,-0.408109441562184,10.9591370062302,42.3216,40.828924279668,-3.41321838310421,NA
"17660603","2001-09-18",32.4443185179558,0.338491295938104,0.121269250544768,0.0460489625585231,46.587606493888,37.9237268394453,42.2556666666667,-0.0238992438765538,34.9569587523575,42.1296,40.3850677090456,-3.77224708488048,NA
"17660602","2001-09-19",35.2049204847604,0.304642166344294,0.214377820760799,0.114695296623656,46.67913096732,37.20186903268,41.9405,0.0296989048729988,33.9709630878241,41.9236,39.9537253478395,-4.08899642459066,NA
"17660601","2001-09-20",37.9605158755948,0.222442899702086,0.288525453994828,0.208057508433465,46.7374962265765,36.4315037734236,41.5845,0.0321977297594723,31.4844247622158,41.6808,39.4585619681276,-4.48319159716436,NA
"17660600","2001-09-21",40.7771759391632,0.0806122448979591,0.202565770314779,0.235156348356802,46.9067353658439,35.3769313008228,41.1418333333333,-0.0283553214763307,27.9711730149079,41.3536,38.8360870390439,-5.05019135890656,NA
"17660599","2001-09-24",40.8370846940517,0.277475516866159,0.193510220488734,0.228200481599447,46.6299703534026,34.9366963132641,40.7833333333333,0.180443077461443,37.1400636743806,41.0996,38.531275433838,-5.08729976033529,NA
"17660598","2001-09-25",39.6656063548158,0.463276836158192,0.273788199307437,0.223288063370317,46.2371258539581,34.7892074793753,40.5131666666667,0.333171999411383,43.9116000560297,40.876,38.4737720426596,-4.74045633560593,NA
"17660597","2001-09-26",38.4466397250686,0.588304093567252,0.443018815530534,0.303439078442235,45.8967823192344,34.7185510140989,40.3076666666667,0.408363559012888,47.5616454747432,40.6896,38.547935770305,-4.22188236879385,-4.10233520144669
"17660596","2001-09-27",36.730273381148,0.607565011820331,0.553048647181925,0.423285220673299,45.5035770992675,34.7194229007326,40.1115,0.455042062232455,47.9927509314379,40.5072,38.6268776675977,-3.74429786062508,-4.03072773328237
"17660595","2001-09-28",34.2334051018138,0.798780487804877,0.66488319773082,0.55365022014776,45.09706725715,34.83993274285,39.9685,0.603813919165122,53.2933427486205,40.3772,38.8832939785847,-3.03691417086994,-3.83196502079988
"17660594","2001-10-01",32.1175882658622,0.772104607721046,0.726150035782085,0.648027293564943,44.6375337494797,34.9747995838537,39.8061666666667,0.576289656119181,51.8798524667794,40.2252,39.05885478144,-2.52030695686424,-3.56963340801275
"17660593","2001-10-02",30.0740321321888,0.776529338327091,0.782471477951005,0.72450157048797,44.2414238350137,35.097242831653,39.6693333333333,0.60141239909758,51.958264945706,40.0816,39.2136741439147,-2.08296996335912,-3.27230071908203
"17660592","2001-10-03",29.7974256017226,0.637931034482758,0.728854993510299,0.745825502414463,44.2543877881251,35.0912788785416,39.6728333333333,0.841277910971463,56.4656719402033,40.0108,39.5051842580594,-1.4782707191755,-2.91349471910072
"17660591","2001-10-04",29.7680192741306,0.875613747954174,0.763358040254674,0.758228170571993,44.8911080856329,34.7508919143671,39.821,1.03111951221789,66.056934305357,40.0668,40.1978263569848,-0.3325628371321,-2.397308342707
"17660590","2001-10-05",29.3684614912086,0.818022747156606,0.777189176531179,0.756467403432051,45.3771704942279,34.5274961724388,39.9523333333333,0.941580074931685,63.5002441958553,40.0856,40.7234495093869,0.445610420039055,-1.82872459015779
"17660589","2001-10-08",28.3775929883757,0.7331583552056,0.808931616772126,0.783159611185993,45.6054130397683,34.4522536268984,40.0288333333333,0.809732863318869,59.2243369573889,40.0664,41.0496562414686,0.854580284072615,-1.29206361531171
"17660588","2001-10-09",28.483675329973,0.756688963210703,0.769290021857636,0.785136938386981,46.0906675970303,34.2673324029697,40.179,0.891683050847308,61.1693191816691,40.096,41.4217020759395,1.29062208129547,-0.775526475990272
"17660587","2001-10-10",28.7174036682097,0.895631067961165,0.795159462125822,0.791127033585195,46.8978466353239,33.9528200313428,40.4253333333333,0.953044002618199,66.3766673108387,40.2304,42.0134751324809,1.99596420955075,-0.221228338882068
"17660586","2001-10-11",30.1356759647425,0.888079470198676,0.846799833790181,0.803749772591213,48.7415006385424,33.0808326947909,40.9111666666667,1.1137775669078,73.9984697333476,40.5512,43.0730117814834,3.27350739410459,0.477718807715264
"17660585","2001-10-12",31.4526430972373,0.915129151291513,0.899613229817118,0.847190841911041,50.3475698206383,32.4544301793617,41.401,1.02714803116913,74.808435484235,40.8952,44.0632768772856,4.29924466927978,1.24202398002817
