"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"17661763","2016-12-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17661762","2016-12-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17661761","2016-12-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17661760","2016-12-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17661759","2016-12-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17661758","2016-12-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17661757","2016-12-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17661756","2016-12-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17661755","2016-12-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17661754","2016-12-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17661753","2017-01-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17661752","2017-01-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17661751","2017-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17661750","2017-01-06",NA,0.430463576158941,NA,NA,NA,NA,NA,NA,NA,NA,11.6535714285714,NA,NA
"17661749","2017-01-09",NA,0.324561403508772,NA,NA,NA,NA,NA,NA,69.0721649484536,NA,11.6784285714286,NA,NA
"17661748","2017-01-10",NA,0.31578947368421,0.356938151117307,NA,NA,NA,NA,NA,66.4885496183206,NA,11.6906380952381,NA,NA
"17661747","2017-01-11",NA,0.301075268817204,0.313808715336728,NA,NA,NA,NA,NA,65.7320329734123,NA,11.698553015873,NA,NA
"17661746","2017-01-12",NA,0,0.205621580833804,0.292122815762613,NA,NA,NA,NA,55.2403647690172,NA,11.6640792804233,NA,NA
"17661745","2017-01-13",NA,0.0104166666666664,0.10383064516129,0.207753647110608,NA,NA,NA,NA,55.4871820488396,NA,11.6355353763668,NA,NA
"17661744","2017-01-17",NA,0.208333333333334,0.0729166666666669,0.12745629755392,12.1358723227152,11.4359276772848,11.7859,0.382038290876708,60.0003687059386,NA,11.6361306595179,NA,NA
"17661743","2017-01-18",NA,0.052083333333334,0.0902777777777783,0.0890083632019118,12.1302504164215,11.4498495835785,11.79005,0.259382030761769,55.2386513322869,NA,11.6166465715822,NA,NA
"17661742","2017-01-19",NA,0.078125000000001,0.112847222222223,0.0920138888888895,12.073720294727,11.4517130386064,11.7627166666667,0.222323710909923,55.8672937591205,NA,11.6030936953712,NA,NA
"17661741","2017-01-20",NA,0.0104166666666664,0.0468750000000005,0.083333333333334,12.0474383768023,11.4396616231977,11.74355,0.247357892368686,53.7534873935705,NA,11.5826812026551,NA,NA
"17661740","2017-01-23",NA,0,0.0295138888888892,0.0630787037037043,12.0583315077705,11.4010018255629,11.7296666666667,0.0846832915209959,51.8049817450547,NA,11.5569903756344,NA,NA
"17661739","2017-01-24",NA,0,0.00347222222222216,0.0266203703703706,12.1257966833609,11.2745366499725,11.7001666666667,-0.193286003710907,39.6732222995302,11.5922,11.4720583255498,NA,NA
"17661738","2017-01-25",NA,0,1.38777878078145e-17,0.0109953703703705,12.1639432193169,11.1792901140164,11.6716166666667,-0.0476886534256031,38.8395915304549,11.5834,11.3931172154765,-1.73690379573086,NA
"17661737","2017-01-26",NA,0.270072992700729,0.0900243309002432,0.0311655177074885,12.162570012809,11.1528633205243,11.6577166666667,0.2579660160711,49.4256237502421,11.5574,11.3740349200796,-1.69024501019881,NA
"17661736","2017-01-27",14.2528114781055,0.153284671532846,0.141119221411192,0.0770478507704784,12.1785845835127,11.103182083154,11.6408833333333,0.114826386837955,45.7388144081042,11.531,11.3361635974024,-1.74732892768282,NA
"17661735","2017-01-30",14.5800121548974,0.0875912408759119,0.170316301703163,0.133819951338199,12.1960910938667,11.0456755728,11.6208833333333,0.108069149731858,43.7614032944832,11.5038,11.2913417844154,-1.83668465950267,NA
"17661734","2017-01-31",14.34834063135,0.354761904761904,0.198545939056887,0.169993820723747,12.1861235968533,11.0267764031467,11.60645,0.343201989602329,51.8983579583697,11.49088,11.29609621316,-1.65538817443615,NA
"17661733","2017-02-01",14.0892542325155,0.500490677134446,0.314281274257421,0.227714505005824,12.1395803899382,11.0236196100618,11.5816,0.399697789248712,53.3002653134366,11.48168,11.308616718072,-1.44994751643699,NA
"17661732","2017-02-02",14.0921109260057,0.441609421000981,0.432287334299111,0.315038182537806,12.070089781881,11.0304435514524,11.5502666666667,0.371494748800353,51.7532575691015,11.47088,11.3114678223291,-1.31472541017953,NA
"17661731","2017-02-03",14.0947635699608,0.490677134445536,0.477592410860321,0.408053673138951,12.0134557131232,11.0364109535435,11.5249333333333,0.413071195049588,52.9780629070248,11.46728,11.3206054460185,-1.15852459123813,NA
"17661730","2017-02-06",13.9206777327804,0.510304219823357,0.480863591756624,0.463581112305352,11.9705383919551,11.0403282747116,11.5054333333333,0.454741408183399,53.4867149146713,11.46288,11.3311913865494,-1.00882570665113,-1.5109526435619
"17661729","2017-02-07",13.1201178964998,0.575757575757575,0.525579643342156,0.494678548653034,11.9156696799561,11.0601969867105,11.4879333333333,0.584241925236973,54.8030135106887,11.45488,11.3470325350095,-0.844864242090559,-1.37773496326763
"17661728","2017-02-08",13.4813790063741,0.222222222222221,0.436094672601051,0.480845969233277,11.8440605807479,11.0604727525854,11.4522666666667,0.199331725771609,45.1672930668607,11.42888,11.3140948636749,-0.953019673678934,-1.29279190534989
"17661727","2017-02-09",13.2271992834468,0.566666666666667,0.454882154882154,0.47218549027512,11.7699765394265,11.0915567939068,11.4307666666667,0.528350196851364,52.6033400672437,11.40768,11.3242155485182,-0.822876249920412,-1.198808774264
"17661726","2017-02-10",14.7608062017799,0.769662921348314,0.519517270079068,0.470164699187424,12.0081410708547,10.935725595812,11.4719333333333,1.35296543608427,66.9271649161314,11.42568,11.4476534753825,-0.109649971941306,-0.980977013799458
"17661725","2017-02-13",17.7114057375951,0.534580688272636,0.623636758762539,0.53267872790792,12.376153209847,10.7029134568196,11.5395333333333,1.33956886480752,69.5753645174314,11.45488,11.5852996786648,0.602898262918794,-0.664201958455808
"17661724","2017-02-14",20.4512481637093,0.730943264879916,0.678395624833622,0.607183217891743,12.7592958218661,10.4807708448006,11.6200333333333,1.24315621599234,75.3136774311001,11.50528,11.7872597215095,1.56642366173749,-0.218076834417148
"17661723","2017-02-15",22.9953875593867,0.765750087017055,0.677091346723203,0.659707910106455,13.0754211193842,10.3380122139491,11.7067166666667,1.10395921488044,76.0967618372059,11.56248,11.9756250919749,2.35355184446226,0.296248901358735
"17661722","2017-02-16",25.3129056824983,0.761573268360599,0.752755540085857,0.702747503880894,13.3353431423928,10.2532901909405,11.7943166666667,1.00215987775423,75.7860859239854,11.62,12.1372750797116,2.92123682036405,0.821246485159798
"17661721","2017-02-17",27.9684443151473,0.824104234527688,0.783809196635114,0.737885361148058,13.6744196593974,10.1362136739359,11.9053166666667,1.03831895066587,79.1608747244823,11.7076,12.3363050690834,3.60637873279004,1.37827293468585
"17661720","2017-02-21",28.5808324766278,0.629032258064517,0.738236586984268,0.758267107901746,13.8796133854064,10.1286866145936,12.00415,0.881021390354589,66.135088437912,11.7716,12.4314643932056,3.71772258767769,1.84616286528421
"17661719","2017-02-22",27.1494756688027,0.348387096774194,0.600507863122133,0.707517882247171,13.9141158404871,10.2331841595129,12.07365,0.615826653942992,52.2472983177768,11.7932,12.3979358074448,3.20463817205441,2.11785792663825
