"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"17662298","2019-05-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17662297","2019-05-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17662296","2019-05-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17662295","2019-05-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17662294","2019-05-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17662293","2019-05-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17662292","2019-05-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17662291","2019-05-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17662290","2019-05-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17662289","2019-05-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17662288","2019-05-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17662287","2019-05-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17662286","2019-05-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17662285","2019-05-24",NA,0.599173553719009,NA,NA,NA,NA,NA,NA,NA,NA,8.0655,NA,NA
"17662284","2019-05-28",NA,0.560355029585799,NA,NA,NA,NA,NA,NA,75.8271701050992,NA,8.12436666666667,NA,NA
"17662283","2019-05-29",NA,0.497041420118344,0.55219000114105,NA,NA,NA,NA,NA,72.572001719444,NA,8.16111777777778,NA,NA
"17662282","2019-05-30",NA,0.563926940639269,0.540441130114471,NA,NA,NA,NA,NA,76.5706000320117,NA,8.24563540740741,NA,NA
"17662281","2019-05-31",NA,0.528688524590164,0.529885628449259,0.540838919901593,NA,NA,NA,NA,77.071825827984,NA,8.32621735308642,NA,NA
"17662280","2019-06-03",NA,0.702054794520548,0.598223419916661,0.556183392826797,NA,NA,NA,NA,83.3491353323965,NA,8.51605503934156,NA,NA
"17662279","2019-06-04",NA,0.456389452332657,0.562377590481123,0.563495546282348,9.73226570941622,7.49756762391712,8.61491666666667,0.955728974430661,72.2279874491746,NA,8.61791436742936,NA,NA
"17662278","2019-06-05",NA,0.438524590163935,0.53232294567238,0.564307985356721,9.86027859826074,7.53478806840593,8.69753333333333,0.904846484894282,71.5715445022126,NA,8.70219245177211,NA,NA
"17662277","2019-06-06",NA,0.491666666666667,0.462193569721086,0.518964701958197,9.9608242219631,7.58224244470357,8.77153333333333,0.839894417083333,72.8978684442615,NA,8.79523345820249,NA,NA
"17662276","2019-06-07",NA,0.406554472984942,0.445581909938515,0.480032808443994,10.0282544009034,7.64647893242991,8.83736666666667,0.765614178039539,70.080970444395,NA,8.85986899710883,NA,NA
"17662275","2019-06-10",NA,0,0.299407046550536,0.402394175403379,10.0124712524875,7.68142874751251,8.84695,0.204588541308447,43.8023242399948,NA,8.68521979749432,NA,NA
"17662274","2019-06-11",NA,0.010097719869707,0.138884064284883,0.294624340257978,9.98342114119162,7.73271219214172,8.85806666666667,0.0872115463623781,44.2060535100042,8.3824,8.53799049116174,NA,NA
"17662273","2019-06-12",NA,0.0781758957654724,0.0294245385450598,0.15590521646016,9.99004126965047,7.71875873034953,8.8544,0.135565668730894,46.9720159288586,8.4068,8.43825842567351,0.926027803309748,NA
"17662272","2019-06-13",NA,0.0358306188925083,0.0413680781758958,0.0698922270019462,10.0431051379634,7.59336152870324,8.81823333333334,0.0625800746592091,45.4623097258972,8.3992,8.33449063558371,0.116673529502376,NA
"17662271","2019-06-14",36.66168055048,0,0.0380021715526602,0.0362649294245386,10.0984447239014,7.45718860943195,8.77781666666667,0.0692138068574901,43.7163673852533,8.3836,8.22455855083921,-0.672103353633957,NA
"17662270","2019-06-17",37.6517151051104,0,0.011943539630836,0.030437929786464,10.3483852666748,7.00141473332516,8.6749,-0.175506395252683,29.1090325432667,8.2996,7.88661741072732,-3.11475383700969,NA
"17662269","2019-06-18",37.4179355031975,0.407910750507099,0.135970250169033,0.0619719871175098,10.3423393452193,6.935193988114,8.63876666666667,0.29608540468701,49.2768366423992,8.30524,7.86186842263034,-2.99995776413983,NA
"17662268","2019-06-19",34.8557280999753,0.395537525354969,0.267816091954023,0.138576627251297,10.3270857395043,6.91744759382899,8.62226666666667,0.444588450368855,48.8231086361818,8.30284,7.83228596627963,-2.93899056148595,NA
"17662267","2019-06-20",32.4765355112689,0.671399594320487,0.491615956727518,0.298467432950191,10.3906279363682,6.9251053969651,8.65786666666667,0.694910481460323,58.0887788417859,8.33664,7.98798117077568,-1.480017193021,NA
"17662266","2019-06-21",31.0003473058659,0.56209012058388,0.543009080086445,0.434147042922662,10.3954635773472,6.9294030893195,8.66243333333334,0.519878475934851,53.1161244896216,8.34332,8.03585034800559,-0.98359329726575,NA
"17662265","2019-06-24",29.9257903031853,0.5013750793315,0.578288264745289,0.537637767186417,10.3743737569539,6.90032624304611,8.63735,0.411529707417766,51.047764387404,8.33692,8.03907030160484,-0.869347595119918,-1.33511802987377
"17662264","2019-06-25",29.0927983124869,0.510392609699769,0.524619269871716,0.548638871567817,10.3565736836668,6.85099298299984,8.60378333333334,0.350585857791355,49.8815917564685,8.31292,8.0205275947242,-0.929002804149381,-1.2538949847289
"17662263","2019-06-26",27.9462913854248,0.489607390300231,0.500458359777166,0.53445529813139,10.3452722843587,6.81262771564128,8.57895,0.36536526462968,49.2007208248671,8.28452,7.99245724876097,-1.05540657634602,-1.21419730305232
"17662262","2019-06-27",27.2797539401587,0.406466512702078,0.468822170900693,0.497966600183192,10.2936988446904,6.73020115530961,8.51195,0.292727053291561,46.4684285737692,8.24804,7.92012961559284,-1.50534303468197,-1.27242644937825
"17662261","2019-06-28",26.6608263124116,0.418013856812933,0.438029253271747,0.469103261316535,10.2154228670853,6.66547713291474,8.44045000000001,0.320527772992694,46.9094151619178,8.21324,7.8641123335138,-1.79481691616818,-1.37690454273624
"17662260","2019-07-01",26.590329270452,0.311778290993071,0.378752886836027,0.428534770336156,9.97887245449918,6.6356942121675,8.30728333333334,0.221637137116082,43.369654774475,8.14964,7.75423068904529,-2.47709151636316,-1.59694193746162
"17662259","2019-07-02",26.5248677314895,0.33487297921478,0.354888375673595,0.39055683859379,9.80257569606158,6.5749909706051,8.18878333333334,0.213268564973421,44.352725127969,8.09496,7.67233326383925,-2.89096794173299,-1.8557471383159
"17662258","2019-07-03",26.105980795278,0.346420323325635,0.331023864511162,0.354888375673595,9.58119918088388,6.5684674857828,8.07483333333334,0.262729175486915,44.8680644921166,8.04656,7.60802216199402,-3.13697734390426,-2.11199317943357
"17662257","2019-07-05",25.434290382301,0.418013856812933,0.366435719784449,0.350782653323069,9.32554371402454,6.6277896193088,7.97666666666667,0.366555665431049,48.0785631409862,7.99476,7.59361920706148,-2.97129807218882,-2.28385415798462
"17662256","2019-07-08",24.8105778559652,0.154362416107382,0.306265532081983,0.334575038792532,9.05232550817926,6.71514115848742,7.88373333333334,0.383449501946253,48.0785631409862,7.94076,7.58113664611995,-2.80804011096136,-2.38869134857997
"17662255","2019-07-09",24.5186589850039,0.0872483221476509,0.219874865022655,0.297525372296363,9.02605821291182,6.66340845375486,7.84473333333334,0.302594524138683,46.0711534956973,7.84276,7.54365175997063,-2.86008142229445,-2.48296936332286
"17662254","2019-07-10",23.6064306135594,0.0540540540540541,0.0985549307696957,0.208231775958111,9.01419630867312,6.62383702466022,7.81901666666667,0.330841328872876,45.0581462891995,7.75956,7.49783152530788,-2.9768317459247,-2.58174183984323
"17662253","2019-07-11",22.7593614115038,0.0691056910569105,0.0701360224195383,0.129521939403963,8.9920091777237,6.58535748894298,7.78868333333334,0.346806525825046,45.1879371996791,7.67796,7.45945398860016,-3.02654729945701,-2.67070293176599
"17662252","2019-07-12",21.9505838737828,0.151912568306011,0.0916907711389916,0.0867939081094085,8.98616590854808,6.56606742478526,7.77611666666667,0.383978550783285,46.6536672085997,7.59468,7.4405934567868,-2.91704412957332,-2.71997117132745
"17662251","2019-07-15",21.4682515234536,0.0787878787878787,0.0999353793835998,0.0872540576473765,8.98545873489772,6.53410793176896,7.75978333333334,0.317875923988446,44.8824295624997,7.51028,7.40451432921523,-2.95826761771639,-2.76763046060524
"17662250","2019-07-16",21.5499507923635,0,0.0769001490312963,0.0895087665179625,8.90396241354133,6.67887091979201,7.79141666666667,0.16529466222304,41.3419156489787,7.48268,7.3319124186532,-3.29595405822136,-2.87329518012847
"17662249","2019-07-17",21.6258143992085,0.00641025641025627,0.0283993783993782,0.0684116356047581,8.90720146106827,6.57956520559841,7.74338333333334,0.173467021226399,41.5022225810211,7.45424,7.27032409616611,-3.51879973995005,-3.00239609209278
"17662248","2019-07-18",22.4328043081981,0,0.00213675213675197,0.0358120931891421,8.86408146366641,6.44535186966693,7.65471666666667,0.0887441617556507,36.458963429914,7.39864,7.15428088334396,-4.18193582298216,-3.23830403827066
"17662247","2019-07-19",22.3131126396963,0,0.00213675213675197,0.0108909608909607,8.52214652307669,6.53028681025665,7.52621666666667,0.116999466165588,36.3577301013355,7.34784,7.05237676556477,-4.68224639412641,-3.52709250944181
"17662246","2019-07-22",22.7925475690583,0,-1.22008884477035e-16,0.00142450142450123,8.39234691697123,6.40791974969544,7.40013333333334,-0.0999044390734354,32.5605576260859,7.28744,6.91205986348946,-5.48531026138257,-3.91873605982996
"17662245","2019-07-23",22.8779577528872,0.0491891891891893,0.0163963963963963,0.006177716177716,8.30226631818629,6.29673368181371,7.2995,0.0102714117666421,34.2851580910938,7.30348,6.8025852150242,-5.97145027378141,-4.32927890262025
"17662244","2019-07-24",22.4824461858821,0,0.0163963963963963,0.0109309309309308,8.23439590132852,6.18793743200482,7.21116666666667,0.0612745888608001,33.2682785217496,7.23504,6.69424051968764,-6.42323422704896,-4.74806996750599
"17662243","2019-07-25",22.5165236576573,0,0.0163963963963963,0.0163963963963963,8.17206905565711,6.04006427767622,7.10606666666667,-0.0181664435009246,30.9213675775446,7.15944,6.56834178372929,-7.01479215780612,-5.20141440556602
"17662242","2019-07-26",22.5715655832114,0,-1.22587125635694e-16,0.0109309309309308,8.14816914618099,5.88069752048568,7.01443333333333,0.0264475839527203,30.7849387794684,7.02888,6.45736287923205,-7.44140520254744,-5.6494125649623
"17662241","2019-07-29",22.6226759426545,0.0491958372753075,0.0163986124251024,0.0109316696071661,8.08618964170741,5.75634369162592,6.92126666666667,0.0788276617034074,33.1447269172623,6.9286,6.37504782866778,-7.58187205577061,-6.03590446312396
"17662240","2019-07-30",23.1620476194903,0,0.0163986124251024,0.0109324082834015,8.09411266430212,5.58275400236454,6.83843333333333,0.0546500982577958,30.1630721644016,6.8286,6.26637478484541,-7.97595035301768,-6.42391364110271
"17662239","2019-07-31",22.4852692791604,0,0.0163986124251024,0.0163986124251023,8.07685196894288,5.45968136439045,6.76826666666667,0.152958555668176,30.1630721644016,6.735,6.17219148019935,-8.21661522135462,-6.78245395715309
"17662238","2019-08-01",21.4796386276642,0,-1.22587125635694e-16,0.0109324082834015,8.02851062213778,5.35902271119556,6.69376666666667,0.19141397371007,29.5034751679887,6.6426,6.08256594950611,-8.40917862620293,-7.10779889096306
"17662237","2019-08-02",21.6061804204968,0,-1.22587125635694e-16,0.00546620414170066,7.97382937625274,5.18137062374726,6.5776,0.0400946690745622,24.0325130303429,6.5414,5.92755715623863,-9.25983141493273,-7.53820539575699
"17662236","2019-08-05",22.4156017996532,0,-1.22587125635694e-16,-1.65376971376456e-16,7.96499218362808,4.90020781637192,6.4326,-0.0616273317811516,20.6240242202479,6.419,5.72921620207348,-10.5348249906602,-8.13752931473763
"17662235","2019-08-06",22.8150768431958,0.0912052117263841,0.0304017372421279,0.0101339124140425,7.90885947674843,4.71284052325157,6.31085,0.0721187243991689,27.1176400301534,6.3262,5.59465404179701,-11.091344883053,-8.7282924284007
"17662234","2019-08-07",23.4043499583901,0.0420195439739412,0.0444082519001083,0.024936663047412,7.82397710713976,4.53518955952691,6.17958333333333,0.0772758258559128,25.8876712249728,6.22336,5.45790016955741,-11.665364847817,-9.31570691228396
"17662233","2019-08-08",23.9515321367847,0.202380952380952,0.111868569360426,0.062226186167554,7.67681026624491,4.43935640042175,6.05808333333333,0.170085388827075,34.01953824042,6.13376,5.39018014694976,-11.4628174819149,-9.74512902621016
"17662232","2019-08-09",24.7469149778346,0.126984126984127,0.12379487444634,0.0933572319022913,7.47900354072849,4.37896312593817,5.92898333333333,0.17237523899549,32.1264294299987,6.02416,5.30615612735646,-11.4750795332565,-10.0911191276194
"17662231","2019-08-12",25.4854847588095,0.151190476190476,0.160185185185185,0.131949542997317,7.28637892775284,4.32498773891383,5.80568333333333,0.17638520584114,33.4076746552962,5.917,5.24146864370893,-11.2845343622297,-10.3298021745415
"17662230","2019-08-13",26.725270268036,0,0.0927248677248674,0.125568309118797,7.13516724453906,4.2341994221276,5.68468333333333,0.135288382555316,29.6437222509507,5.8026,5.13460615788107,-11.6115707164895,-10.5861558829311
"17662229","2019-08-14",27.8764996694606,0.0322580645161287,0.0611495135688681,0.10468652215964,6.95787346773078,4.17582653226921,5.56685,0.162053389053501,31.1779271741551,5.695,5.05132533683026,-11.6611692096274,-10.8011585482704
"17662228","2019-08-15",29.5414872651299,0,0.0107526881720428,0.054875689821926,6.84265850147595,4.06104149852405,5.45185,0.10747651497625,26.9314841115696,5.5682,4.91648195858623,-12.3493434548603,-11.1107955295883
"17662227","2019-08-16",31.0875471753943,0.147859922178988,0.0600393288983722,0.0439805102130943,6.65055624051089,4.02647709282244,5.33851666666667,0.179182695102172,34.6780246593837,5.45228,4.85028436410806,-12.1782085495209,-11.3242781335749
"17662226","2019-08-19",32.5231742349256,0.178988326848249,0.108949416342412,0.059913811137609,6.54645321896184,3.96461344770483,5.25553333333333,0.226732332041724,36.2112730610898,5.34548,4.80357978222699,-11.7926517935722,-11.4179528655743
"17662225","2019-08-20",31.817301075675,0.206225680933852,0.17769130998703,0.115560018409271,6.38779539250779,3.97120460749221,5.1795,0.341581232657533,37.5916218672509,5.25388,4.77243581126339,-11.2517971133378,-11.384721715127
"17662224","2019-08-21",31.1618474277995,0.303,0.2294046692607,0.172015131863381,6.20357128647985,4.00049538018681,5.10203333333333,0.346563011121066,39.1316777360896,5.16492,4.75557770309494,-10.5798646588781,-11.2237503038772
"17662223","2019-08-22",29.8748344282411,0.562962962962962,0.357396214632271,0.254830731293334,6.07162111429808,4.02664555236858,5.04913333333333,0.448263440419712,42.2419466467056,5.10092,4.76150067601561,-9.67854048386948,-10.9147083398757
"17662222","2019-08-23",29.599460439578,0.207407407407407,0.35779012345679,0.314863669116587,5.93535525063402,4.02917808269931,4.98226666666667,0.301207705292212,36.0574201036856,5.01812,4.70263391921353,-9.66787213443376,-10.6653410987873
"17662221","2019-08-26",29.3437560215338,0.520661157024793,0.430343842465054,0.381843393518038,5.7735795642294,4.0796204357706,4.9266,0.441006054010138,42.6507086197549,4.96492,4.69828272998506,-8.97007187438036,-10.3262872539059
"17662220","2019-08-27",29.1063162047784,0.537190082644628,0.421752882358942,0.403295616093595,5.64455732969556,4.10564267030444,4.8751,0.379720425775115,43.0123178882188,4.90888,4.69717836598705,-8.28815938993325,-9.91866168111138
"17662219","2019-08-28",27.9522256657777,0.49586776859504,0.517906336088153,0.456667686970717,5.44338407450433,4.19648259216233,4.81993333333333,0.449260893853592,42.2943280154433,4.85488,4.68955458385545,-7.74457226385725,-9.48384379766055
"17662218","2019-08-29",26.0306785997833,0.421052631578947,0.484703494272871,0.474787570906656,5.16696535774936,4.37156797558397,4.76926666666666,0.609882182113881,41.694701252274,4.80888,4.67761397267472,-7.29969703923583,-9.04701444597561
"17662217","2019-08-30",24.6090960813717,0.512129380053908,0.476349926742631,0.492986585701219,5.09930946739198,4.41402386594135,4.75666666666666,0.915398581356559,45.8300487689061,4.77144,4.69393210965142,-6.53000534012418,-8.54361262480532
"17662216","2019-09-03",24.0211986710196,0.00673854447439338,0.313306852035749,0.424786757683751,5.1284740058389,4.34605932749443,4.73726666666666,-0.0290459711328276,35.625735606751,4.69984,4.60807449503123,-7.13274637507462,-8.26143937485918
"17662215","2019-09-04",23.4752939328355,0.107816711590296,0.208894878706199,0.33285055249486,5.12777261299708,4.28242738700292,4.7051,0.0207874989492182,38.5716297123781,4.64544,4.5536645623604,-7.28739163735177,-8.0666298273577
"17662214","2019-09-05",23.3337134593887,0.234252993232691,0.11626941643246,0.212823715724803,5.15458223343057,4.27571776656943,4.71515,0.813112366820508,44.0830439385033,4.60304,4.54650928737902,-6.81094150100534,-7.81549216208723
"17662213","2019-09-06",23.2022458769024,0.234252993232691,0.192107566018559,0.172423953719073,5.1211235000897,4.27917649991029,4.70015,0.487944609342588,44.0830439385033,4.56304,4.54030804906181,-6.36105809773851,-7.52460534921749
"17662212","2019-09-09",23.0801688360222,0.380010411244143,0.282838799236508,0.197071927229176,5.11366985535334,4.28129681131332,4.69748333333333,0.695244990008176,49.0328746083697,4.55744,4.57226697585357,-5.44744122928228,-7.10917252523045
"17662211","2019-09-10",22.9668115837764,0.416449765747006,0.34357105674128,0.272839140665449,5.12070563334184,4.27952769999149,4.70011666666667,0.737623129909287,50.2192788648497,4.57384,4.60929804573976,-4.54824152940502,-6.59698632606536
"17662210","2019-09-11",22.7594777227409,0.395627277459656,0.397362484816935,0.341257446931575,5.13898272720119,4.28658393946547,4.71278333333333,0.696171872922127,49.5100561926432,4.57744,4.6360583063078,-3.8608996112189,-6.04976898309607
"17662209","2019-09-12",22.1044698957124,0.30192608016658,0.371334374457747,0.370755972005321,5.14377078866872,4.29446254466461,4.71911666666667,0.540287689314484,46.338644238917,4.57988,4.63525053213342,-3.58639470458451,-5.55709412739376
"17662208","2019-09-13",21.2920955842823,0.260281103591879,0.319278153739371,0.362658337671351,5.12684589139254,4.33772077527413,4.73228333333333,0.361935708578243,44.9601986552807,4.56387999999999,4.62388379451563,-3.46814610364448,-5.1393045226439
"17662207","2019-09-16",20.484527353649,0.249869859448204,0.270692347735554,0.320434958644224,5.12406531528405,4.34523468471595,4.73465,0.255209935874078,44.6029793965685,4.55467999999999,4.61136595524688,-3.3715923338544,-4.785762084886
"17662206","2019-09-17",19.355378432308,0.176991150442478,0.229047371160853,0.27300595754526,5.12832186176487,4.33397813823512,4.73115,0.183827047963585,42.0824575785381,4.53743999999999,4.5818504945473,-3.50157882473252,-4.52892543285531
"17662205","2019-09-18",19.6796114066508,0.182196772514316,0.203019260801666,0.234252993232691,5.12306545024008,4.33090121642658,4.72698333333333,0.482768724694516,42.3331317600231,4.53584,4.55760376194099,-3.54990983013022,-4.33312231231029
"17662204","2019-09-19",19.9806848828262,0.328474752732951,0.229220891896581,0.2204291746197,5.12837218672495,4.33192781327505,4.73015,0.622021495251919,49.0113960848542,4.54268,4.57405659368219,-3.05861196123822,-4.07822024209587
"17662203","2019-09-20",20.9746277131642,0.239458615304529,0.250043380183932,0.22742784429406,5.11687237556058,4.33509429110609,4.72598333333333,0.671425458619988,45.5540807013802,4.56148,4.56551571452457,-2.93630938681795,-3.84983807104029
"17662202","2019-09-23",21.0584952155388,0.00621118012422366,0.191381516053901,0.223548596044805,5.12847630644303,4.30355702689031,4.71601666666667,0.121760971769451,40.2125763680523,4.55312,4.51824695258796,-3.33291517829578,-3.74645349249139
"17662201","2019-09-24",21.1363721820295,0.0278409090909088,0.0911702348398868,0.17753171035924,5.12664704921659,4.26171961745007,4.69418333333333,0.148313462885468,41.4247368508655,4.54352,4.48381402557623,-3.52645520533647,-3.7024538350604
"17662200","2019-09-25",21.0284066824092,0,0.011350696405044,0.0979674824329441,5.14290601024543,4.20399398975457,4.67345,0.0759808608494192,40.3110709766495,4.52864,4.44570548883273,-3.75397650079752,-3.71275836820783
"17662199","2019-09-26",21.4862158396451,0.00146842878120395,0.00976977929070407,0.0374302368452117,5.13939949450661,4.16950050549338,4.65445,0.213595604820718,40.3667647335492,4.5108,4.41294475698837,-3.89170645442278,-3.74854798545082
"17662198","2019-09-27",21.9650193834913,0.104258443465491,0.0352422907488983,0.0187875888148822,5.11693306872345,4.15430026460988,4.63561666666667,0.338342651526442,44.2856497551886,4.4924,4.40321878938992,-3.70555026414607,-3.73994844118987
"17662197","2019-09-30",22.4096226742057,0.133627019089574,0.0797846304454229,0.0415989001616752,5.05564785858525,4.15645214141475,4.60605,0.326456023955451,45.3898906706378,4.4948,4.4001229508046,-3.44564899014418,-3.68108855098073
"17662196","2019-10-01",22.9428330431171,0.148311306901615,0.12873225648556,0.0812530592266271,5.04868590254117,4.17941409745883,4.61405,0.34962509320743,45.9665432051041,4.484,4.40010655736398,-3.16665192636166,-3.57820122605692
"17662195","2019-10-02",23.0630266094056,0.0748898678414092,0.118942731277533,0.109153206069505,5.0421971837767,4.19423614955664,4.61821666666667,0.223002208999644,43.4935619580484,4.4684,4.38675901638212,-3.09356703582059,-3.48127438800965
"17662194","2019-10-03",22.4617840775247,0,0.0744003915810079,0.107358459781367,5.00023176599448,4.16016823400552,4.5802,0.0831267676019065,38.9770550429657,4.4468,4.3485244808645,-3.36813729003905,-3.45864696841553
