"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"17691645","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17691644","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17691643","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17691642","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17691641","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17691640","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17691639","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17691638","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17691637","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17691636","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17691635","2001-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17691634","2001-08-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17691633","2001-08-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17691632","2001-08-22",NA,0.225169590643275,NA,NA,NA,NA,NA,NA,NA,NA,1.29808142857143,NA,NA
"17691631","2001-08-23",NA,0.239766081871345,NA,NA,NA,NA,NA,NA,41.9288767513654,NA,1.2950039047619,NA,NA
"17691630","2001-08-24",NA,0.239766081871345,0.234900584795322,NA,NA,NA,NA,NA,41.9288767513654,NA,1.29233671746032,NA,NA
"17691629","2001-08-27",NA,0.228070175438597,0.235867446393762,NA,NA,NA,NA,NA,41.5710889348327,NA,1.28969182179894,NA,NA
"17691628","2001-08-28",NA,0.435649122807018,0.30116179337232,0.257309941520468,NA,NA,NA,NA,49.7643768595523,NA,1.29331557889242,NA,NA
"17691627","2001-08-29",NA,0.562358187935217,0.40869249539361,0.315240578386564,NA,NA,NA,NA,58.7934454860432,NA,1.30504016837343,NA,NA
"17691626","2001-08-30",NA,0.649289099526066,0.549098803422767,0.419651030729566,1.43011049800105,1.22276550199895,1.326438,1.18434414174093,64.7541240931931,NA,1.32270147925697,NA,NA
"17691625","2001-08-31",NA,0.708511848341232,0.640053045267505,0.532614781361294,1.45500362957387,1.21143437042613,1.333219,1.07353023046558,66.2155907735706,NA,1.34009061535604,NA,NA
"17691624","2001-09-04",NA,0.765383886255924,0.707728278041074,0.632293375577115,1.47891058523166,1.20273541476834,1.340823,1.01374519450332,67.6047648191552,NA,1.35716119997524,NA,NA
"17691623","2001-09-05",NA,0.530805687203791,0.668233807266983,0.672005043525187,1.49030815960581,1.20173384039419,1.346021,0.817003260199737,57.1639152475901,NA,1.36370637331187,NA,NA
"17691622","2001-09-06",NA,0.417061611374407,0.571083728278041,0.649015271195366,1.49357993633543,1.21100306366457,1.3522915,0.650396242970319,52.8978965251709,NA,1.36537885687029,NA,NA
"17691621","2001-09-07",NA,0.0355260663507104,0.327797788309636,0.52237177461822,1.48973691106153,1.22186642227181,1.35580166666667,0.355446313471794,41.6655842734239,1.3244248,1.35341100928758,NA,NA
"17691620","2001-09-10",NA,0.00947867298578179,0.154022116903633,0.350967877830437,1.48696832305606,1.2282393436106,1.35760383333333,0.243539229832114,41.0251204874038,1.3219996,1.34212287471591,1.56334740711255,NA
"17691619","2001-09-17",NA,0,0.0150015797788308,0.165607161664034,1.49019852369166,1.21207080964168,1.35113466666667,0.0981534344808832,36.8612026454124,1.3182992,1.32608915808712,0.721104053055788,NA
"17691618","2001-09-18",23.5312253709284,0,0.00315955766192736,0.0573944181147973,1.49644666867314,1.1932606646602,1.34485366666667,0.06414984558117,34.9757969453594,1.3134244,1.3091106036755,-0.0948096861474235,NA
"17691617","2001-09-19",23.9274640988325,0,9.19403442267708e-17,0.00605371248025286,1.50147423308518,1.17477476691482,1.3381245,0.0937923165624907,33.4801772044495,1.3116492,1.29189585651877,-0.857340884674163,NA
"17691616","2001-09-20",24.4449045005588,0,9.19403442267708e-17,0.00105318588730928,1.5076763109642,1.15161402236913,1.32964516666667,0.0662598793897069,32.4829314193719,1.3093992,1.27530974231627,-1.53267464183164,NA
"17691615","2001-09-21",25.7831288543353,0,9.19403442267708e-17,1.92409745543761e-16,1.51858318341833,1.118311149915,1.31844716666667,0.00110470725236364,26.7723409787472,1.3032744,1.24985244334076,-2.58457310731219,NA
"17691614","2001-09-24",27.190872963598,0,9.19403442267708e-17,1.92409745543761e-16,1.52705316393378,1.08677850273289,1.30691583333333,0.0442182247796747,25.6752262125642,1.292524,1.225288117562,-3.52510829333167,NA
