"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"17706475","2010-06-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17706474","2010-06-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17706473","2010-07-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17706472","2010-07-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17706471","2010-07-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17706470","2010-07-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17706469","2010-07-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17706468","2010-07-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17706467","2010-07-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17706466","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17706465","2010-07-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17706464","2010-07-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17706463","2010-07-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17706462","2010-07-19",NA,0.384715025906736,NA,NA,NA,NA,NA,NA,NA,NA,3.634,NA,NA
"17706461","2010-07-20",NA,0.328367875647668,NA,NA,NA,NA,NA,NA,55.9506875296349,NA,3.68413333333333,NA,NA
"17706460","2010-07-21",NA,0.413162705667276,0.375415202407227,NA,NA,NA,NA,NA,54.4222513924859,NA,3.71291555555556,NA,NA
"17706459","2010-07-22",NA,0.663793103448276,0.468441228254407,NA,NA,NA,NA,NA,56.4489169011403,NA,3.76106014814815,NA,NA
"17706458","2010-07-23",NA,0.836313617606602,0.637756475574051,0.493870968745228,NA,NA,NA,NA,58.042424412251,NA,3.8211854617284,NA,NA
"17706457","2010-07-26",NA,0.731774415405777,0.743960378820218,0.616719360882892,NA,NA,NA,NA,55.6280843328794,NA,3.85302740016461,NA,NA
"17706456","2010-07-27",NA,0.702095808383233,0.756727947131871,0.712814933842047,4.84906490973865,3.00746842359469,3.92826666666667,0.600492517258311,55.4972398647735,NA,3.87955708014266,NA,NA
"17706455","2010-07-28",NA,0.694736842105263,0.709535688631425,0.736741338194505,4.85879697100326,3.01000302899674,3.9344,0.604716916039807,56.1908112600807,NA,3.90921613612364,NA,NA
"17706454","2010-07-29",NA,0.579439252336449,0.658757300941648,0.708340312234981,4.62752196825818,3.13367803174182,3.8806,0.619200314245622,54.3305945786769,NA,3.92132065130716,NA,NA
"17706453","2010-07-30",NA,0.495327102803738,0.589834399081817,0.65270912955163,4.5623909044465,3.15267576222017,3.85753333333333,0.579306802240512,52.6736104784312,NA,3.91981123113287,NA,NA
"17706452","2010-08-02",NA,0.572383073496659,0.549049809545615,0.599213836523027,4.57053424424648,3.15193242242019,3.86123333333333,0.674420566452388,55.222774807921,NA,3.93930306698182,NA,NA
"17706451","2010-08-03",NA,0.559999999999999,0.542570058766799,0.560484755798077,4.60139804555854,3.20060195444146,3.901,0.741529324274116,56.7970967627973,3.81704,3.96926265805091,NA,NA
"17706450","2010-08-04",NA,0.490909090909091,0.54109738813525,0.544239085482555,4.57218944866971,3.34507721799696,3.95863333333333,0.744503579895737,56.8970170237895,3.84352,3.99602763697745,5.17090611774282,NA
"17706449","2010-08-05",NA,0.2,0.416969696969697,0.500212381290582,4.52288799546815,3.48097867119852,4.00193333333333,0.603719838328944,53.3533283519058,3.81752,3.99789061871379,4.73253194358483,NA
"17706448","2010-08-06",5.53837755216575,0.00746268656716419,0.232790592492085,0.396952559199011,4.47260789967899,3.58592543365434,4.02926666666667,0.406843765197784,51.0833786102776,3.81152,3.98537186955196,4.12439198781334,NA
"17706447","2010-08-09",5.29206324368619,0,0.0691542288557213,0.239638172772501,4.41856289626478,3.68537043706855,4.05196666666667,0.32728500307797,50.7761080251373,3.81744,3.97265562027836,3.57333169541261,NA
"17706446","2010-08-10",5.47887595900707,0,0.00248756218905477,0.101477461178954,4.35510235217993,3.78116431448674,4.06813333333333,0.0665037274755412,47.978935979576,3.84136,3.94483487090791,2.84726935505866,NA
"17706445","2010-08-11",6.24228938148616,0,4.22116045821023e-17,0.0238805970149255,4.37064618875447,3.75835381124553,4.0645,-0.195473843828986,43.9632018394487,3.86432,3.89485688812019,1.84855063836897,NA
"17706444","2010-08-12",7.2134287804496,0,4.22116045821023e-17,0.000829187396351747,4.43009030603065,3.65344302730268,4.04176666666667,-0.182120032061848,42.1610294660128,3.87888,3.83927596970417,0.846927650470564,NA
"17706443","2010-08-13",7.65825252708119,0.056367432150313,0.0187891440501044,0.00626304801670161,4.45160806139469,3.58105860527198,4.01633333333333,0.00414457945991973,43.6218879843947,3.88776,3.79830584041028,0.156950276798806,NA
"17706442","2010-08-16",7.78532861645047,0.181628392484342,0.0793319415448852,0.0327070285316633,4.42808178848766,3.54611821151234,3.9871,0.160870349061627,46.8354167117392,3.89784,3.77879839502224,-0.135927533912472,2.57388134792646
"17706441","2010-08-17",7.42516300599746,0.290187891440501,0.176061238691719,0.0913941080955695,4.41372332168972,3.52721001164362,3.97046666666667,0.304703063821645,49.5208858162691,3.91288,3.77575860901928,-0.144110661519747,2.03028294603722
"17706440","2010-08-18",6.94076018524624,0.252609603340292,0.241475295755045,0.16562282533055,4.41037503200205,3.50982496799795,3.9601,0.306673713146048,48.6056389562208,3.9196,3.76832412781671,-0.225267530940143,1.57917285064174
"17706439","2010-08-19",6.70616168453858,0.196242171189979,0.246346555323591,0.221294363256785,4.39368889038499,3.48597777628168,3.93983333333333,0.265894680919577,47.196557473597,3.91424,3.75468091077448,-0.401370134453938,1.18306425362261
"17706438","2010-08-20",6.48832021959576,0.233820459290188,0.227557411273486,0.238459754117374,4.35354361727786,3.47578971605548,3.91466666666667,0.30328578838988,48.2731683267876,3.90192,3.74765678933788,-0.458504488177325,0.854750505262622
"17706437","2010-08-23",6.82172848422224,0.336116910229645,0.255393180236604,0.24309904894456,4.32884779073133,3.47575220926867,3.9023,0.48870779131593,51.1906478578959,3.88656,3.75463588409283,-0.289162879491678,0.625967828311762
"17706436","2010-08-24",7.0838783720963,0.375,0.314979123173278,0.265976571561123,4.30466217946298,3.47267115387036,3.88866666666667,0.442307070000171,50.8753233477692,3.87776,3.75935109954712,-0.174640061116893,0.465846250426031
"17706435","2010-08-25",6.95009289871412,0.39,0.367038970076548,0.312470424495477,4.27497846198159,3.47022153801842,3.8726,0.418070498842515,48.3724193112996,3.87024,3.7530376196075,-0.248810218427542,0.322914956655316
"17706434","2010-08-26",7.07544837192936,0.736666666666666,0.500555555555555,0.39419121626846,4.26361600927938,3.47218399072062,3.8679,0.622267818836647,54.7635661080974,3.86408,3.7752992703265,0.137362271506714,0.285804419625596
"17706433","2010-08-27",7.08699432991404,0.703333333333333,0.61,0.492531508544034,4.25956761304222,3.47176572029112,3.86566666666667,0.574891924661368,54.0704462893898,3.8516,3.79192603428297,0.39436260636847,0.307516056974171
"17706432","2010-08-30",7.39235835550445,0.74,0.726666666666666,0.612407407407407,4.23896880161676,3.47756453171658,3.85826666666667,0.634488344822947,54.7489044379942,3.84608,3.80926922971191,0.636156839768254,0.373244213532987
"17706431","2010-08-31",7.35600319126328,0.646666666666666,0.696666666666666,0.677777777777778,4.18026820653605,3.50199846013062,3.84113333333333,0.581874996824844,52.6182299700737,3.83864,3.81683333241699,0.700244358013236,0.438644242429037
"17706430","2010-09-01",8.13503393289683,0.64026402640264,0.675643564356435,0.69965896589659,4.11771357680563,3.53795308986104,3.82783333333333,0.784312810281408,54.4587356761811,3.83136,3.83058888809472,0.854661839934878,0.521847761930205
"17706429","2010-09-02",9.29301309329332,0.687919463087248,0.658283385385518,0.676864538802874,4.12119000742243,3.53587665924424,3.82853333333333,1.00480083460649,58.971950692075,3.83384,3.86144370301543,1.25872537113714,0.669223283771592
"17706428","2010-09-03",10.4151263668131,0.784511784511784,0.704231758000558,0.679386235914171,4.16596806904241,3.51389859762425,3.83993333333333,1.01333998600691,61.022585601654,3.84272,3.8975178759467,1.70019315016077,0.875417257049427
"17706427","2010-09-07",11.2401955341954,0.73063973063973,0.734356992746254,0.698957378710777,4.19907978691944,3.50158687974722,3.85033333333333,0.905738892954967,59.5571128899869,3.84408,3.92451549248714,1.95660732008873,1.09165526965729
"17706426","2010-09-08",12.0063311896218,0.764309764309765,0.759820426487093,0.732803059077969,4.23741327197775,3.49565339468891,3.86653333333333,0.873166584598393,60.2004374475648,3.84232,3.95058009348886,2.17234387862701,1.30779299145123
"17706425","2010-09-09",12.8141877378415,0.781362007168459,0.758770500705985,0.750982639979778,4.26938105577236,3.51601894422764,3.8927,0.857464220556325,60.8047321791858,3.84104,3.97556941435701,2.34964857653772,1.51616410846853
"17706424","2010-09-10",12.2633442516284,0.437956204379562,0.661209325285929,0.726600084159669,4.25622277437664,3.58097722562336,3.9186,0.664977022367167,52.0158900066555,3.83872,3.97242682577608,2.08781205000073,1.63049369677497
"17706423","2010-09-13",11.7518467287163,0.708029197080292,0.642449136209438,0.687476320733784,4.25780182811242,3.63359817188759,3.9457,0.789916063230304,57.3041565603766,3.84656,3.98943658233927,2.15494475280253,1.73538390798048
"17706422","2010-09-14",12.0510373404451,0.648026315789473,0.598003905749776,0.633887455748381,4.27424235168969,3.66609098164364,3.97016666666667,0.840649839613085,57.5086084205528,3.8552,4.0049783713607,2.1934950107616,1.82700612853671
"17706421","2010-09-15",12.7231385738077,0.546816479400749,0.634290664090171,0.624914568683128,4.30680995180472,3.67765671486195,3.99223333333333,0.891690479939073,59.3264431574744,3.87096,4.02538125517927,2.30034607963094,1.92167411875555
"17706420","2010-09-16",14.3019471377391,0.39425587467363,0.529699556621284,0.587331375487077,4.34983718799192,3.68829614534142,4.01906666666667,0.958928441965761,59.6836469189308,3.89488,4.04439708782203,2.37557357560509,2.01245401012546
"17706419","2010-09-17",14.4088868526472,0.122715404699739,0.354595919591373,0.506195380100943,4.33846982893037,3.73306350440297,4.03576666666667,0.542230590647733,49.8726274374745,3.91416,4.0331441427791,1.99671833800312,2.00930687570099
"17706418","2010-09-20",14.5344401601909,0.216710182767624,0.244560487380331,0.376285321197663,4.32653358428193,3.78193308238474,4.05423333333333,0.604847497938551,52.7670234138972,3.93416,4.03299159040855,1.81948142517225,1.97134178559525
"17706417","2010-09-21",14.8329776207461,0.30056179775281,0.213329128406724,0.270828511792809,4.33729941971255,3.80116724695412,4.06923333333333,0.730229297186667,56.5909993502612,3.95344,4.04645937835408,1.86104703209609,1.94928283489541
"17706416","2010-09-22",14.0535706924998,0.011764705882353,0.176345562134262,0.211411725973773,4.32649815911672,3.83156850754995,4.07903333333333,0.414398608908256,49.263895521881,3.9616,4.0349314612402,1.52890999543849,1.86520826700403
"17706415","2010-09-23",13.0979468627912,0,0.104108834545054,0.164594508362014,4.30929772274098,3.86236894392569,4.08583333333333,0.179665590016,47.00391001481,3.9688,4.01694059974151,1.13213761411484,1.71859413642619
"17706414","2010-09-24",12.170810823808,0.0409836065573774,0.0175827708132435,0.0993457224975202,4.30922050709438,3.86257949290563,4.0859,0.231551746948768,48.2814598460971,3.97936,4.00534851977597,0.867488550979756,1.5483730193369
