"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"17896919","2012-06-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17896918","2012-06-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17896917","2012-06-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17896916","2012-06-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17896915","2012-06-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17896914","2012-06-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17896913","2012-06-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17896912","2012-06-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17896911","2012-06-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17896910","2012-06-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17896909","2012-07-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17896908","2012-07-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17896907","2012-07-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17896906","2012-07-06",NA,0.732772277227722,NA,NA,NA,NA,NA,NA,NA,NA,50.3585785714286,NA,NA
"17896905","2012-07-09",NA,0.732673267326729,NA,NA,NA,NA,NA,NA,67.4641148325358,NA,50.4081014285714,NA,NA
"17896904","2012-07-10",NA,0.138613861386139,0.534686468646864,NA,NA,NA,NA,NA,51.5321900477931,NA,50.3710212380952,NA,NA
"17896903","2012-07-11",NA,0.504950495049504,0.458745874587458,NA,NA,NA,NA,NA,58.1029293552428,NA,50.3882184063492,NA,NA
"17896902","2012-07-12",NA,0.504950495049504,0.382838283828383,0.458756875687568,NA,NA,NA,NA,58.1029293552428,NA,50.403122618836,NA,NA
"17896901","2012-07-13",NA,0.999900999900997,0.669933996666668,0.503839385027503,NA,NA,NA,NA,65.4448720873977,NA,50.4827062696579,NA,NA
"17896900","2012-07-16",NA,0.178200178200178,0.561017224383559,0.537929834959537,51.0937955205658,49.7832178127675,50.4385066666667,0.295123429103834,49.8334884922756,NA,50.4410121003701,NA,NA
"17896899","2012-07-17",NA,1,0.726033726033725,0.652328315694651,51.1857011624752,49.8053121708581,50.4955066666667,0.966892547859504,61.4169970392907,NA,50.5342104869875,NA,NA
"17896898","2012-07-18",NA,1,0.726066726066726,0.67103922549467,51.4943103014338,49.6917030318995,50.5930066666667,1.2527947746954,68.0510733358035,NA,50.7229824220558,NA,NA
"17896897","2012-07-19",NA,1,1,0.817366817366817,51.7273741989439,49.6519724677228,50.6896733333333,1.10726877486275,68.0510733358036,NA,50.8865847657817,NA,NA
"17896896","2012-07-20",NA,1,1,0.908688908688908,51.9102730112288,49.6640736554379,50.7871733333333,1.01768631473817,68.0510733358035,NA,51.0283734636775,NA,NA
"17896895","2012-07-23",NA,0,0.666666666666667,0.888888888888889,51.9190130615415,49.6043336051252,50.7616733333333,0.229981330704704,41.2540654338987,50.581604,50.8245903351872,NA,NA
"17896894","2012-07-24",NA,0.714285714285713,0.571428571428571,0.746031746031746,51.9687066789413,49.6296399877254,50.7991733333333,0.692737842131515,54.9116117889717,50.631604,50.8813116238289,0.631097923654855,NA
"17896893","2012-07-25",NA,0.714285714285713,0.476190476190476,0.571428571428571,52.013504351997,49.6598423146697,50.8366733333334,0.675610032414002,54.9116117889718,50.681604,50.930470073985,0.63471555122383,NA
"17896892","2012-07-26",31.1781013899347,0.714285714285713,0.714285714285714,0.587301587301587,52.0539396308884,49.6844070357783,50.8691733333334,0.660718053616378,54.9116117889718,50.731604,50.9730740641204,0.630232912007633,NA
"17896891","2012-07-27",29.6500671765739,0.714285714285713,0.714285714285714,0.634920634920634,52.056435460026,49.807244539974,50.93184,0.641455310513444,54.9116117889718,50.781604,51.0099975222376,0.619472391291609,NA
"17896890","2012-07-30",28.2311782641674,0.714285714285713,0.714285714285714,0.714285714285713,52.0729993385105,49.8856806614896,50.97934,0.62374054263031,54.9116117889718,50.811604,51.041997852606,0.603929644299828,NA
"17896889","2012-07-31",26.9136385597899,0.714285714285713,0.714285714285714,0.714285714285713,52.0960479642684,49.8976320357316,50.99684,0.61515564307636,54.9116117889718,50.841604,51.0697314722585,0.584828087439759,NA
"17896888","2012-08-01",25.6902088342966,0.714285714285713,0.714285714285714,0.714285714285713,52.1199316357629,49.9187483642372,51.01934,0.604789093658751,54.9116117889718,50.871604,51.0937672759574,0.563164521490522,NA
"17896887","2012-08-02",23.8796127688879,0.848979591836733,0.759183673469387,0.729251700680271,52.1805898003176,49.9414235330158,51.0610066666667,0.733268370595836,58.0045137568423,50.918804,51.1585983058297,0.591207315416598,NA
"17896886","2012-08-03",23.6250588070707,0.4734693877551,0.678911564625849,0.717460317460316,52.1803518665443,49.9459848001224,51.0631683333334,0.370283175779104,48.0986395674729,50.945604,51.0921185317191,0.462887143037283,0.591281721095769
"17896885","2012-08-06",23.3886872710975,0.4734693877551,0.598639455782311,0.678911564625849,52.1814342448368,49.9379024218299,51.0596683333334,0.321857515353755,48.0986395674729,50.972004,51.0345027274899,0.357030101744615,0.544431397225538
"17896884","2012-08-07",23.1691994162653,0.4734693877551,0.4734693877551,0.583673469387753,52.1419334935581,50.0304031731086,51.0861683333334,0.298170867258666,48.0986395674729,50.962404,50.9845690304912,0.269988576591085,0.489542833098647
"17896883","2012-08-08",22.9653892653497,0.4734693877551,0.4734693877551,0.51519274376417,52.134355480058,50.0539811866087,51.0941683333334,0.29130277916792,48.0986395674729,50.958804,50.9412931597591,0.198688222479459,0.43137191097481
"17896882","2012-08-09",23.2034377319228,0.422488038277513,0.456475604595904,0.467804793368701,52.1403986145743,50.0394713854257,51.089935,0.178902887588312,44.9872717935012,50.944124,50.8668540717912,0.0971004082437998,0.364517610428608
"17896881","2012-08-10",23.4244827365979,0,0.298652475344204,0.409532489231736,52.1536158641935,49.9645508024732,51.0590833333334,0.191154299085996,44.9872717935012,50.93024,50.8023401955524,0.0163094137489939,0.294875971092685
"17896880","2012-08-13",23.9889833564634,0,0.140829346092504,0.298652475344204,52.1558948507523,49.9602718159144,51.0580833333334,0.086412002914531,42.3168642086528,50.90704,50.7153615028121,-0.08390586327649,0.21911960421885
"17896879","2012-08-14",22.6597765875779,0.854166666666667,0.284722222222222,0.24140134788631,52.176427822079,49.9637388445878,51.0700833333334,0.640063366256759,56.8711186692239,50.95704,50.8039799691038,0.0319251741229376,0.181680718199668
"17896878","2012-08-15",21.4255131593271,0.854166666666667,0.569444444444444,0.33166533758639,52.0832685678345,49.9998980988322,51.0415833333334,0.662437104538925,56.8711186692239,50.99224,50.88078263989,0.122141368539852,0.169772848267704
"17896877","2012-08-16",21.5183251817351,0,0.569444444444444,0.474537037037037,51.9728856846514,49.931947648682,50.9524166666667,0.115005460159986,42.8146350647471,50.97224,50.7633449545713,-0.0252001029214521,0.130778258029873
"17896876","2012-08-17",21.425781397557,0.364779874213835,0.406315513626834,0.515068134171907,51.8064703370128,49.9620296629872,50.88425,0.338659308741081,48.5683574592389,50.95544,50.7388989606285,-0.0493249968236631,0.0947576070591659
"17896875","2012-08-20",21.3398478836774,0.377358490566038,0.247379454926624,0.407713137665967,51.7750150856755,50.0398182476578,50.9074166666667,0.322834700979587,48.7598101273503,50.97264,50.7203790992113,-0.0645286315011151,0.0629003593471097
"17896874","2012-08-21",21.2734949441191,0.371069182389938,0.371069182389937,0.341588050314465,51.7375270774764,50.0116395891903,50.8745833333333,0.337040362185299,48.6622711740065,50.95064,50.7029952193165,-0.0772853882822333,0.0348632098212411
"17896873","2012-08-22",21.2118815002435,0.434782608695652,0.39440342721721,0.33761735484459,51.6949248029056,49.9892418637611,50.8420833333333,0.358072489454133,48.7726289240589,50.89664,50.6892625234076,-0.0848312220217307,0.0109243234526468
"17896872","2012-08-23",20.1008923902218,0.894409937888198,0.566753909657929,0.444075506421692,51.7371095886075,49.9717237447258,50.8544166666667,0.863801489756953,57.1125249102011,50.87624,50.7893608536199,0.0423189933749901,0.0172032574371154
"17896871","2012-08-24",19.0692596452015,1,0.77639751552795,0.579184950801029,51.8001746062417,49.9446587270917,50.8724166666667,0.897508499723113,58.5821299905671,50.86264,50.8987794064706,0.167891391100228,0.0473408841697379
"17896870","2012-08-27",18.1113149533971,1,0.964803312629399,0.769318245938426,51.8598137960437,49.9210195372896,50.8904166666667,0.871149919639103,58.5821299905671,50.94704,50.9936088189412,0.264101687625007,0.0906930448607917
"17896869","2012-08-28",17.2217948824358,1,1,0.913733609385783,51.9164517823469,49.9003815509864,50.9084166666667,0.847995482706921,58.5821299905671,50.96144,51.075794309749,0.336266374566208,0.139807710801875
"17896868","2012-08-29",16.3958119594003,1,1,0.988267770876466,51.9704218364069,49.8824114969264,50.9264166666667,0.827385032730915,58.5821299905671,50.97584,51.1470217351158,0.388812880719058,0.189608744785312
"17896867","2012-08-30",16.0223435727153,0.62111801242236,0.873706004140787,0.957902001380262,51.897909291001,49.896590708999,50.89725,0.551341151241008,50.2685813522655,50.96584,51.1274188371004,0.330372245877486,0.217761445003746
"17896866","2012-08-31",15.675551499365,0.62111801242236,0.747412008281574,0.873706004140786,51.9085061720231,49.9086604946436,50.9085833333333,0.545711860520393,50.2685813522656,50.95584,51.1104296588203,0.28082106981635,0.230373369966267
"17896865","2012-09-04",15.283012688518,0.801120448179273,0.681118824341331,0.76741227892123,51.9832677321939,49.9227322678061,50.953,0.788921663141677,55.4385572080502,50.96304,51.1530390376443,0.305876126149474,0.245473921202909
"17896864","2012-09-05",14.9185123641601,0.801120448179273,0.741119636260302,0.723216822961069,52.032585299099,49.950414700901,50.9915,0.710597537194848,55.4385572080502,50.97024,51.1899671659584,0.321970773954061,0.260773291753139
"17896863","2012-09-06",14.5800477772564,0.705394190871371,0.769211695743306,0.730483385448313,52.0761393788592,49.9838606211407,51.03,0.691179114410258,55.4385572080502,50.97744,51.2219715438306,0.330872140221961,0.274793061446903
"17896862","2012-09-07",13.8903981234666,0.267782426778238,0.591432355276294,0.700587895759967,52.0643261357377,50.045140530929,51.0547333333333,0.428320936426727,47.915076813024,50.95064,51.1803753379865,0.25307145569673,0.270448740296869
"17896861","2012-09-10",14.4941703156937,0,0.324392205883203,0.561678752300934,52.0618851641293,50.0506148358707,51.05625,0.180342986403366,39.2093514208747,50.92904,51.0389919595883,0.0658588262770543,0.229530757492906
"17896860","2012-09-11",15.0548159227618,0.522522522522526,0.263434983100255,0.393086514753251,52.0152375044587,50.1812624955413,51.09825,0.4409752044201,49.9863570408549,50.94224,51.0324596983099,0.0542420684994882,0.194473019694222
"17896859","2012-09-12",15.5754154150392,0.522522522522526,0.34834834834835,0.312058512443936,51.9874920334359,50.170007966564,51.07875,0.451168760366229,49.9863570408549,50.95544,51.0267984052019,0.0445223337732781,0.164482882510033
"17896858","2012-09-13",16.0588292292969,0.522522522522526,0.522522522522526,0.37810195132371,51.9579802617211,50.1605197382788,51.05925,0.46147342370148,49.9863570408549,50.96864,51.021891951175,0.0363996676588707,0.138866239539801
"17896857","2012-09-14",16.5077134853932,0.522522522522526,0.522522522522526,0.464464464464467,51.9020122109823,50.298821122351,51.1004166666666,0.431126945845916,49.9863570408549,50.99292,51.0176396910183,0.0296208562686529,0.117017162885571
"17896856","2012-09-17",18.2122156586832,0,0.34834834834835,0.464464464464467,51.9624027933451,50.1904305399882,51.0764166666666,-0.0472715490679113,40.0957734425035,50.9812,50.8939543988826,-0.116964735054281,0.0702207832976008
"17896855","2012-09-18",19.7949676767382,0,0.174174174174175,0.34834834834835,52.016100284776,50.0857330485573,51.0509166666666,0.00221043507300055,40.0957734425035,50.9788,50.7867604790315,-0.230790572585005,0.0100185121210797
"17896854","2012-09-19",21.2646659792178,0,-7.40148683083438e-17,0.174174174174175,52.0610478503256,49.9904521496743,51.02575,0.0480769134671498,40.0957734425035,50.9272,50.6938590818273,-0.317587816456422,-0.0555027535944206
"17896853","2012-09-20",22.6293858315203,0,-7.40148683083438e-17,0.0580580580580582,52.0993922286896,49.9011077713103,51.00025,0.0859271092308387,40.0957734425035,50.8755999999999,50.6133445375837,-0.382168283046891,-0.120835859484915
"17896852","2012-09-21",23.8966256943726,0,-7.40148683083438e-17,-2.40548322002117e-16,52.0721739226685,49.7876594106648,50.9299166666666,0.132343475056343,40.0957734425035,50.8791999999999,50.5435652659059,-0.428565829436311,-0.182381853475194
"17896851","2012-09-24",25.073348424164,0,-7.40148683083438e-17,-2.40548322002117e-16,52.0072756620459,49.7005576712874,50.8539166666666,0.168829622985058,40.0957734425035,50.8595999999999,50.4830898971184,-0.460156583624205,-0.237936799504996
"17896850","2012-09-25",26.1660195303989,0,-7.40148683083438e-17,-2.40548322002117e-16,51.9222567846191,49.6335765487141,50.7779166666666,0.199426483492738,40.0957734425035,50.8391999999999,50.430677910836,-0.479761107431897,-0.286301661090376
"17896849","2012-09-26",27.1806427004742,0,-7.40148683083438e-17,-2.40548322002117e-16,51.8166290236848,49.5872043096485,50.7019166666666,0.225527099967057,40.0957734425035,50.8191999999999,50.3852541893912,-0.489731141948524,-0.326987557262006
"17896848","2012-09-27",28.1227927869726,0,-7.40148683083438e-17,-2.40548322002117e-16,51.6886701527688,49.5631631805645,50.6259166666666,0.24786407493603,40.0957734425036,50.7987999999999,50.345886964139,-0.492023207571446,-0.359994687323894
"17896847","2012-09-28",26.3767853980745,0.351648351648345,0.117216117216115,0.0390720390720381,51.6550513661106,49.5574486338893,50.60625,0.500198639456503,47.3169938191078,50.7575999999999,50.3544353689205,-0.437517154169142,-0.375499180692944
"17896846","2012-10-01",25.8147233304377,0.0999999999999954,0.150549450549447,0.0892551892551871,51.6222558323761,49.5552441676238,50.58875,0.529632150144327,44.0969008404438,50.7024,50.3378439863977,-0.418352368836472,-0.384069818321649
