"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"17948721","2019-05-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17948720","2019-05-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17948719","2019-05-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17948718","2019-05-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17948717","2019-05-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17948716","2019-05-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17948715","2019-05-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17948714","2019-05-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17948713","2019-05-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17948712","2019-05-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17948711","2019-05-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17948710","2019-05-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17948709","2019-05-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17948708","2019-05-30",NA,0.383408071748879,NA,NA,NA,NA,NA,NA,NA,NA,39.7455,NA,NA
"17948707","2019-05-31",NA,0.417293233082706,NA,NA,NA,NA,NA,NA,45.2792401007095,NA,39.7007666666667,NA,NA
"17948706","2019-06-03",NA,0.470180305131761,0.423627203321116,NA,NA,NA,NA,NA,47.9418612441794,NA,39.7726644444444,NA,NA
"17948705","2019-06-04",NA,0.342465753424658,0.409979763879708,NA,NA,NA,NA,NA,49.4110491744985,NA,39.8963091851852,NA,NA
"17948704","2019-06-05",NA,0.514816520804545,0.442487526453655,0.42536483121816,NA,NA,NA,NA,54.7880633611931,NA,40.2434679604938,NA,NA
"17948703","2019-06-06",NA,0.777373920945025,0.544885398391409,0.465784229574924,NA,NA,NA,NA,59.3853388044689,NA,40.781672232428,NA,NA
"17948702","2019-06-07",NA,0.754656974102681,0.68228247195075,0.556551798931938,44.7794039991938,37.3170626674728,41.0482333333333,0.981765687227136,58.8423469170739,NA,41.2281159347709,NA,NA
"17948701","2019-06-10",NA,0.512342874451007,0.681457923166238,0.636208597836132,44.8987808959831,37.2820191040169,41.0904,0.779156251008056,53.2493821615942,NA,41.4017004768015,NA,NA
"17948700","2019-06-11",NA,0.401787066484931,0.556262305012873,0.640000900043287,44.7375757223907,37.9715576109426,41.3545666666667,0.656975636556888,50.8734666659739,NA,41.4548070798946,NA,NA
"17948699","2019-06-12",NA,0.388156898379525,0.434095613105154,0.557271947094755,44.5543607162288,38.5684392837712,41.5614,0.577169962644113,50.5738631685788,NA,41.4888328025753,NA,NA
"17948698","2019-06-13",NA,0.553233378767227,0.447725781210561,0.479361233109529,44.7183093206136,38.7434906793864,41.7309,0.765408334861353,54.099530606969,NA,41.6636550955653,NA,NA
"17948697","2019-06-14",NA,0.600181735574739,0.51385733757383,0.465226243963182,44.9061327949591,38.7043338717075,41.8052333333333,0.801219053232474,55.0809068417771,40.78588,41.8565010828232,NA,NA
"17948696","2019-06-17",NA,0.572921399363925,0.57544550456863,0.512342874451007,45.0435234976195,38.7039098357138,41.8737166666667,0.727030133079227,54.3542202045974,40.86068,41.9996342717802,3.12708134665374,NA
"17948695","2019-06-18",NA,0.684542586750789,0.619215240563151,0.569506027568537,45.2875329000443,38.852900433289,42.0702166666666,0.820108933023799,57.1290432862632,41.16748,42.2330163688761,3.19179926217918,NA
"17948694","2019-06-19",10.1820687008317,0.71608832807571,0.657850771396808,0.617503838842863,45.5862450255851,38.8428549744148,42.21455,0.833973958139326,57.8028244671419,41.45148,42.4619475196927,3.24093512082773,NA
"17948693","2019-06-20",10.5405757785109,0.593466424682395,0.664699113169631,0.647255041709864,45.7797905215635,38.9836428117698,42.3817166666666,0.753322432086892,55.7277459107696,41.63388,42.6016878504003,3.15781412773397,NA
"17948692","2019-06-21",10.7797945295177,0.530693069306931,0.613415940688345,0.645321941751595,45.8536451786117,39.2354548213883,42.54455,0.664513752939277,55.0983850786103,41.71908,42.7054628036803,3.03133514002063,NA
"17948691","2019-06-24",10.5938371305273,0.274752475247525,0.466303989745617,0.581473014534531,45.8902193725661,39.4388806274339,42.66455,0.588681851824688,52.3554262303097,41.78108,42.7207344298562,2.79271543584469,NA
"17948690","2019-06-25",10.1500017526394,0.181435643564356,0.328960396039604,0.469560108824522,45.893691054303,39.6246089456969,42.75915,0.521191300049755,50.5316080216723,41.9004,42.6837031725421,2.50360138724197,NA
"17948689","2019-06-26",9.67634626536041,0.164141414141414,0.206776510984431,0.334013632256551,45.7079605035994,40.1142061630672,42.9110833333333,0.463456266717784,50.1176730006805,41.9448,42.6405427495365,2.23318568862758,NA
"17948688","2019-06-27",10.4014554864204,0.393139841688655,0.246238966464808,0.260658624496281,45.5465181083079,40.6863152250254,43.1164166666666,0.661224408147371,54.2061545656541,42.0528,42.7151370495983,2.15296947059864,2.82571521996979
"17948687","2019-06-28",11.9091143013121,0.62756052141527,0.394947259081779,0.28265424551034,45.6753697693127,41.1191302306873,43.39725,1.01564818898339,61.7604121339088,42.2552,43.0304521096518,2.41431007968045,2.74343419191192
"17948686","2019-07-01",12.5341765090916,0.437616387337058,0.486105583480328,0.375763936342305,45.6560679067606,41.566098759906,43.6110833333333,0.852631021950179,56.3309277970876,42.3976,43.1677251616983,2.39973464336454,2.67469428220245
"17948685","2019-07-02",12.8880049940838,0.294491525423729,0.453222811392019,0.444758551318042,45.5312095217983,41.9542904782017,43.74275,0.58869364839776,54.7554159012163,42.5236,43.2453618068052,2.30290908957327,2.60033724367661
"17948684","2019-07-03",13.2165600158621,0.302966101694915,0.345024671485234,0.42811768878586,45.5557049699488,41.9757950300512,43.76575,0.569159095477255,54.9305778438625,42.70932,43.3179802325645,2.20775578806505,2.5218209525543
"17948683","2019-07-05",12.9236989335808,0.137711864406779,0.245056497175141,0.347767993350798,45.4350189801966,41.9718143531367,43.7034166666667,0.448000954974986,50.8004806783193,42.84972,43.2769162015559,1.96423645058876,2.41030405216119
"17948682","2019-07-08",12.4573745446584,0.0826271186440679,0.174435028248587,0.254838732302988,45.3203954444208,41.9337712222458,43.6270833333333,0.349284528432609,49.4653893893437,42.98332,43.2066607080151,1.70319985604677,2.26888321293831
"17948681","2019-07-09",12.2769029345187,0.131355932203389,0.117231638418079,0.178907721280602,45.322473533007,41.9496931336596,43.6360833333333,0.429015044468066,50.699720550542,43.09292,43.1764392802798,1.52184180557242,2.11947493146513
"17948680","2019-07-10",12.4792943384097,0.254237288135594,0.156073446327684,0.14924670433145,45.3092322798152,42.1186010535181,43.7139166666667,0.58130575057643,53.766512171149,43.20732,43.2275807095758,1.46957762991868,1.98949547115584
"17948679","2019-07-11",12.4498000516437,0.201271186440679,0.195621468926554,0.156308851224105,45.190499724892,42.3986669417746,43.7945833333333,0.4434362016158,52.2575423077905,43.23972,43.238569948299,1.36559127579168,1.86471463208301
"17948678","2019-07-12",12.4224124996467,0.218220338983051,0.224576271186441,0.192090395480226,45.1924782252776,42.4323551080557,43.8124166666666,0.449609735715952,52.7148704702857,43.20412,43.2587606218591,1.28328418327797,1.748428542322
"17948677","2019-07-15",12.7324902877287,0.341101694915254,0.253531073446328,0.224576271186441,45.2286365576686,42.4501967756647,43.8394166666667,0.634577927183648,56.0052551023165,43.19772,43.3535925389446,1.31091532199394,1.66092589825639
"17948676","2019-07-16",13.2215608794725,0.351694915254238,0.303672316384181,0.260593220338983,45.2742689069572,42.5072644263761,43.8907666666667,0.662353670363054,56.2876474730041,43.25732,43.4424468670853,1.32635024308958,1.59401076722303
"17948675","2019-07-17",13.1539428370093,0.17782909930716,0.290208569825551,0.282470653218686,45.2536984133878,42.4945015866122,43.8741,0.471936277766815,52.6483182720367,43.32612,43.4527872848073,1.23124412807929,1.52145743939428
"17948674","2019-07-18",12.7574493449404,0.101616628175519,0.210380214245639,0.268087033485123,45.1869082920168,42.4556250413165,43.8212666666667,0.349423648550102,50.3351448894857,43.38532,43.4177489801663,1.08209121370078,1.43358419425558
"17948673","2019-07-19",12.5942142398629,0.0955710955710948,0.125005607684591,0.208531463918593,45.1569769563841,42.4220897102825,43.7895333333333,0.382676455080906,50.1195577196935,43.39972,43.3833824494775,0.947416812765667,1.3363507179576
"17948672","2019-07-22",12.278411143122,0.11659192825112,0.104593217332578,0.146659679754269,45.1567309613083,42.3836690386916,43.7702,0.311207485464549,48.9897322986868,43.39572,43.3335981228805,0.803516925686876,1.22978395950345
"17948671","2019-07-23",12.5165598580616,0.161434977578475,0.124532667133563,0.118043830716911,45.1543885526648,42.4133447806685,43.7838666666666,0.400086722632968,49.8021560299171,43.40292,43.3037850398297,0.700050362359872,1.12383724007474
"17948670","2019-07-24",12.7376979505054,0.273542600896861,0.183856502242152,0.137660795569431,45.1303252338924,42.5012080994409,43.8157666666666,0.391306985557241,51.8661129338425,43.38732,43.3112803678524,0.657099744200962,1.03048974089998
"17948669","2019-07-25",12.7503734678649,0.20627802690583,0.213751868460389,0.174047012612035,45.0788649053837,42.628001761283,43.8534333333333,0.339471520765931,50.5238188874061,43.35772,43.2977763188055,0.588309836270251,0.942053759974036
"17948668","2019-07-26",13.6545863242926,0.205000000000002,0.228273542600898,0.208627304434479,45.0796466825507,42.6285533174492,43.8541,0.524166086113534,52.124993651319,43.35292,43.3100728096314,0.560891048908951,0.865821217761019
"17948667","2019-07-29",14.9919895393487,0.0420328620557888,0.151103629653873,0.197709680238387,44.6337963983883,42.8953036016116,43.76455,0.609932389148251,49.5353854880614,43.34252,43.2847297683472,0.483245063003857,0.789305986809586
"17948666","2019-07-30",15.413249968423,0,0.08234428735193,0.153907153202234,44.381445767159,42.9329875661743,43.6572166666666,-0.0181716665967358,44.0377647491421,43.32932,43.1787657992342,0.300575280874771,0.691559845622623
"17948665","2019-07-31",15.0449892870028,0,0.0140109540185961,0.0824862903414664,44.4986636424862,42.6317696908471,43.5652166666667,-0.220564049974861,39.2033897047355,43.3052,43.0002636926697,0.03322566798174,0.559893010094447
"17948664","2019-08-01",14.0964992848112,0,-1.61907524424502e-16,0.0321184137901752,44.7096910977549,42.170608902245,43.44015,-0.259388570960675,34.0077027035509,43.2508,42.7335618669804,-0.334255109266335,0.38106338622229
"17948663","2019-08-02",14.1139543053688,0,-1.61907524424502e-16,0.00467031800619847,45.1386937641309,41.4212729025358,43.2799833333333,-0.296246495497216,28.8590249528018,43.1208,42.3624202847164,-0.818181787740957,0.141214351429641
"17948662","2019-08-05",15.146374882108,0,-1.61907524424502e-16,-2.83338167742879e-16,45.7719129792487,40.3525870207513,43.06225,-0.293502740549722,23.3570626946704,42.85492,41.8384975800875,-1.48155555693934,-0.183339630244155
"17948661","2019-08-06",14.8135114571915,0,-1.61907524424502e-16,-2.83338167742879e-16,46.0390614089826,39.6633719243508,42.8512166666667,-0.0764422303698354,23.1285520889373,42.62692,41.3746979027425,-2.00730491176667,-0.548132686548659
"17948660","2019-08-07",14.5322101630977,0,-1.61907524424502e-16,-2.83338167742879e-16,46.1755137260094,39.0172529406572,42.5963833333333,-0.0196397250961066,22.9957948002262,42.40972,40.9674048490435,-2.41152758046882,-0.920811665332691
"17948659","2019-08-08",14.7800703640901,0.400985356507458,0.133661785502486,0.0445539285008284,46.0667876088674,38.9456457244659,42.5062166666667,0.405509068032019,46.9958452392488,42.30812,41.0050842025044,-2.13201882644699,-1.16305309755555
