"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"18041756","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18041755","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18041754","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18041753","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18041752","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18041751","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18041750","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18041749","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18041748","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18041747","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18041746","2001-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18041745","2001-08-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18041744","2001-08-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18041743","2001-08-22",NA,0.0769230769230766,NA,NA,NA,NA,NA,NA,NA,NA,5.46857142857143,NA,NA
"18041742","2001-08-23",NA,0.0222222222222217,NA,NA,NA,NA,NA,NA,39.4736842105263,NA,5.4407619047619,NA,NA
"18041741","2001-08-24",NA,0.113636363636363,0.0709272209272205,NA,NA,NA,NA,NA,41.6775032509753,NA,5.42199365079365,NA,NA
"18041740","2001-08-27",NA,0,0.045286195286195,NA,NA,NA,NA,NA,39.7301420806713,NA,5.39906116402117,NA,NA
"18041739","2001-08-28",NA,0.5,0.204545454545454,0.10691962358629,NA,NA,NA,NA,49.8284189508521,NA,5.40585300881834,NA,NA
"18041738","2001-08-29",NA,0.571428571428573,0.357142857142858,0.202324835658169,NA,NA,NA,NA,49.8284189508521,NA,5.41173927430923,NA,NA
"18041737","2001-08-30",NA,0.571428571428573,0.547619047619048,0.36976911976912,5.72097164793072,5.20369501873595,5.46233333333333,0.47615718043838,49.8284189508521,NA,5.41684070440133,NA,NA
"18041736","2001-08-31",NA,0.666666666666668,0.603174603174604,0.502645502645503,5.69962130526957,5.20671202806376,5.45316666666667,0.493575558803401,49.8284189508521,NA,5.42126194381449,NA,NA
"18041735","2001-09-04",NA,0.42857142857143,0.555555555555557,0.56878306878307,5.67722643898743,5.21244022767924,5.44483333333333,0.546975002274446,47.1707630511227,NA,5.41842701797256,NA,NA
"18041734","2001-09-05",NA,0.571428571428573,0.555555555555557,0.571428571428573,5.66176824686383,5.21456508646951,5.43816666666667,0.52646075515857,50.0403895208135,NA,5.42263674890955,NA,NA
