"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"18273567","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18273566","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18273565","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18273564","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18273563","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18273562","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18273561","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18273560","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18273559","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18273558","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18273557","2001-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18273556","2001-08-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18273555","2001-08-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18273554","2001-08-22",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,238.842857857143,NA,NA
"18273553","2001-08-23",NA,0.175824326772101,NA,NA,NA,NA,NA,NA,42.9906542056075,NA,236.59714347619,NA,NA
"18273552","2001-08-24",NA,0.0659342370083815,0.0805861879268276,NA,NA,NA,NA,NA,40.9308692676249,NA,233.850857679365,NA,NA
"18273551","2001-08-27",NA,0,0.0805861879268276,NA,NA,NA,NA,NA,39.1144686232435,NA,230.75074465545,NA,NA
"18273550","2001-08-28",NA,0.223404117624843,0.096446118211075,0.08587283135491,NA,NA,NA,NA,45.2227980641837,NA,229.74397870139,NA,NA
"18273549","2001-08-29",NA,0.0425530217292592,0.0886523797847009,0.0885615619742011,NA,NA,NA,NA,41.5856074973915,NA,227.511448207871,NA,NA
"18273548","2001-08-30",NA,0.0531914987928189,0.106382879382307,0.0971604591260277,264.376552860991,213.223447805675,238.800000333333,0.120746509020558,41.8817251790593,NA,225.656589780155,NA,NA
"18273547","2001-08-31",NA,0,0.0319148401740261,0.075650033113678,263.258171068206,211.84182959846,237.550000333333,0.255914170969984,38.5173903525646,NA,222.769044476134,NA,NA
"18273546","2001-09-04",NA,0.380952380952381,0.144714626581733,0.0943374487126888,260.750412787996,212.149587878671,236.450000333333,0.449589326150239,49.4499214842188,NA,223.46650521265,NA,NA
"18273545","2001-09-05",NA,0.238095238095238,0.206349206349206,0.127659557701655,257.391777710856,212.408222955811,234.900000333333,0.324380256821584,46.1368392238923,NA,222.870971184296,NA,NA
"18273544","2001-09-06",NA,0.0952380952380952,0.238095238095238,0.196386357008726,255.11819670412,211.681803962547,233.400000333333,0.237547259019454,43.0319752541783,NA,221.154841693057,NA,NA
"18273543","2001-09-07",NA,0.142857142857143,0.158730158730159,0.201058201058201,254.785576094179,210.294424239154,232.540000166667,0.240622580321812,44.3757374966141,228.6480012,220.067529467316,NA,NA
"18273542","2001-09-10",NA,0.238095238095238,0.158730158730159,0.185185185185185,252.465568796806,210.214431536528,231.340000166667,0.349944863552178,47.0650923575806,227.8080012,219.925192205007,-4.33048997381095,NA
"18273541","2001-09-17",NA,0.0476190476190476,0.142857142857143,0.153439153439153,249.049629900383,210.03037043295,229.540000166667,0.178620241956844,42.62619510219,226.0080012,218.20183324434,-4.43843327900474,NA
"18273540","2001-09-18",20.9502920904791,0.285714285714286,0.19047619047619,0.164021164021164,244.904550717994,211.59544961534,228.250000166667,0.432450889030826,49.0898115647131,224.6880012,218.708255478428,-3.92704423393849,NA
"18273539","2001-09-19",21.7727973982605,0,0.111111111111111,0.148148148148148,240.311522455285,212.528476878048,226.419999666667,0.0817592075103337,42.8511636609494,222.8880012,216.747154747971,-4.14093477498969,NA
"18273538","2001-09-20",22.9397665904488,0,0.0952380952380952,0.132275132275132,241.171389265758,208.048609734241,224.6099995,-0.188650021403824,40.1066216710454,221.4240008,213.847534114908,-4.6032348797747,NA
"18273537","2001-09-21",24.6000841826565,0,0,0.0687830687830688,242.036220168516,201.70377849815,221.869999333333,-0.295141611528809,35.9714065055706,218.7840008,209.334529566254,-5.49646289284104,NA
"18273536","2001-09-24",26.0834560084579,0.103448275862069,0.0344827586206897,0.043240284619595,242.45972241373,197.60027658627,220.0299995,-0.0356731242830105,39.9706824459933,216.5040008,206.62325895742,-5.81416980751335,NA
"18273535","2001-09-25",26.8714635463489,0.310344827586207,0.137931034482759,0.0574712643678162,241.600345569074,196.619653430926,219.1099995,0.297468667844845,47.0888656290049,214.7760008,206.67349109643,-5.30913677426779,NA
"18273534","2001-09-26",27.7364057486993,0.275862068965517,0.229885057471264,0.134099616858238,241.492825047601,195.167174619066,218.329999833333,0.233840761667135,46.1075444306788,213.0720004,206.317025616906,-4.96882748770666,-4.78097045598304
"18273533","2001-09-27",29.0333355335424,0.181818181818182,0.256008359456635,0.207941483803553,241.26450626019,192.335494073144,216.800000166667,0.0994197316224927,42.3093757813154,211.6320004,204.408088867986,-5.11345376859306,-4.84746711850505
"18273532","2001-09-28",28.4475460218566,0.409090909090909,0.288923719958203,0.258272378962034,240.585907505672,192.034093160994,216.310000333333,0.452421956532166,48.0681582359361,210.3120004,204.753677018921,-4.58759143248066,-4.79549198130017
"18273531","2001-10-01",27.0565745871121,0.58181803030303,0.39090904040404,0.311947039939626,240.343648114888,192.096351218446,216.219999666667,0.694414905498227,51.9905424165955,210.048,206.573185416398,-3.6808018609501,-4.57255395723016
