"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"18303592","2018-06-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18303591","2018-06-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18303590","2018-06-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18303589","2018-06-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18303588","2018-06-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18303587","2018-06-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18303586","2018-06-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18303585","2018-06-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18303584","2018-06-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18303583","2018-06-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18303582","2018-06-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18303581","2018-06-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18303580","2018-07-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18303579","2018-07-03",NA,0.614318706697459,NA,NA,NA,NA,NA,NA,NA,NA,14.6669285714286,NA,NA
"18303578","2018-07-05",NA,0.601895734597157,NA,NA,NA,NA,NA,NA,43.4416880524665,NA,14.7313380952381,NA,NA
"18303577","2018-07-06",NA,0.704370179948586,0.640194873747734,NA,NA,NA,NA,NA,45.1267263944159,NA,14.8138263492063,NA,NA
"18303576","2018-07-09",NA,0.784256559766764,0.696840824770836,NA,NA,NA,NA,NA,44.7676373008024,NA,14.8786495026455,NA,NA
"18303575","2018-07-10",NA,0.801749271137026,0.763458670284125,0.700164789600898,NA,NA,NA,NA,45.3298294070886,NA,14.9428295689594,NA,NA
"18303574","2018-07-11",NA,0.791907514450867,0.792637781784886,0.750979092279949,NA,NA,NA,NA,45.2471654991233,NA,14.9971189597648,NA,NA
"18303573","2018-07-12",NA,0.80635838150289,0.800005055696928,0.785367169255313,16.9617360997383,13.2810639002617,15.1214,0.630030596060159,45.7795794389417,NA,15.0508364317962,NA,NA
"18303572","2018-07-13",NA,0.683815028901734,0.760693641618497,0.784445493033437,16.819089794569,13.3137768720977,15.0664333333333,0.555411125234547,42.0458212670045,NA,15.04085824089,NA,NA
"18303571","2018-07-16",NA,0.497109826589595,0.66242774566474,0.741042147660055,16.64982536844,13.3297079648933,14.9897666666667,0.435815522736528,37.0832826067068,NA,14.9460771421047,NA,NA
"18303570","2018-07-17",NA,0.517341040462428,0.566088631984586,0.663070006422607,16.4830205024703,13.3291794975297,14.9061,0.375464024327356,37.9380669662684,NA,14.8732668564907,NA,NA
"18303569","2018-07-18",NA,0.499421965317919,0.504624277456647,0.577713551701991,16.4428368537094,13.2992298129572,14.8710333333333,0.412298198716965,37.452720122903,NA,14.801897942292,NA,NA
"18303568","2018-07-19",NA,0.168674698795181,0.395145901525176,0.48861960365547,16.3899467423362,13.2587865909972,14.8243666666667,0.375115511684668,34.8362369804722,14.77164,14.694978216653,NA,NA
"18303567","2018-07-20",NA,0.285024154589372,0.31770693956749,0.405825706183104,16.3120798288688,13.2568535044645,14.7844666666667,0.496355970998155,42.4006025747431,14.71244,14.6809811210993,-0.677755828030768,NA
"18303566","2018-07-23",NA,0.314009661835749,0.255902838406767,0.322918559833144,16.2847608525315,13.2538391474685,14.7693,0.553020175259414,43.1236750073823,14.65644,14.6768503049527,-0.635797850929587,NA
"18303565","2018-07-24",20.1250240575716,0,0.199677938808373,0.257762572260877,16.2777964817201,13.2258035182799,14.7518,0.370532685341473,36.3295252934814,14.56804,14.5626035976257,-1.04900284715078,NA
