"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"18467494","2019-08-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18467493","2019-08-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18467492","2019-08-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18467491","2019-08-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18467490","2019-08-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18467489","2019-08-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18467488","2019-09-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18467487","2019-09-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18467486","2019-09-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18467485","2019-09-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18467484","2019-09-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18467483","2019-09-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18467482","2019-09-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18467481","2019-09-12",NA,0.155844155844156,NA,NA,NA,NA,NA,NA,NA,NA,15.1604285714286,NA,NA
"18467480","2019-09-13",NA,0.220779220779221,NA,NA,NA,NA,NA,NA,49.7320471596999,NA,15.1390380952381,NA,NA
"18467479","2019-09-16",NA,0.116883116883117,0.164502164502164,NA,NA,NA,NA,NA,47.5372369769091,NA,15.0671663492064,NA,NA
"18467478","2019-09-17",NA,0.125448028673835,0.154370122112057,NA,NA,NA,NA,NA,46.9790374856965,NA,14.9915441693122,NA,NA
"18467477","2019-09-18",NA,0,0.0807770485189839,0.133216445044402,NA,NA,NA,NA,41.7051606560677,NA,14.7926716134039,NA,NA
"18467476","2019-09-19",NA,0,0.041816009557945,0.0923210600629954,NA,NA,NA,NA,39.5533392689838,NA,14.5603153982834,NA,NA
"18467475","2019-09-20",NA,0,-2.77555756156289e-17,0.0408643526923096,17.1540836395363,12.8178163604637,14.98595,0.147327243707078,39.3106398659756,NA,14.3522733451789,NA,NA
"18467474","2019-09-23",NA,0.115740740740741,0.0385802469135802,0.0267987521571751,17.1428447500135,12.5940552499865,14.86845,0.144202045403418,41.2516850961711,NA,14.2053035658217,NA,NA
"18467473","2019-09-24",NA,0.125,0.0802469135802469,0.0396090534979424,16.7415126126593,12.5870540540074,14.6642833333333,0.159574571904676,41.2516850961711,NA,14.0779297570455,NA,NA
"18467472","2019-09-25",NA,0,0.0802469135802469,0.066358024691358,16.1717233131808,12.6298433534858,14.4007833333333,-0.048894002278409,35.0611817058093,NA,13.8088724561061,NA,NA
"18467471","2019-09-26",NA,0.217687074829932,0.114229024943311,0.0915742840346014,16.031220539512,12.5190127938214,14.2751166666667,0.174910080494446,40.2540844463366,NA,13.661022795292,NA,NA
"18467470","2019-09-27",NA,0.317006802721089,0.178231292517007,0.124235743680188,15.8674712553948,12.4395620779385,14.1535166666667,0.206862128492662,42.5128149218096,14.40592,13.5718197559197,NA,NA
"18467469","2019-09-30",NA,0.659863945578231,0.398185941043084,0.230215419501134,15.5425967965757,12.5641032034243,14.05335,0.482088260950882,49.5967860843388,14.36392,13.6289104551304,-6.05438781864196,NA
"18467468","2019-10-01",NA,0.659863945578231,0.545578231292517,0.373998488284203,15.502531336557,12.5533353301097,14.0279333333333,0.490528492079784,49.5967860843388,14.24392,13.678389061113,-5.35005784883706,NA
"18467467","2019-10-02",40.6530789372349,0.659863945578231,0.659863945578231,0.534542705971278,15.4247209565747,12.5544790434253,13.9896,0.503623387963347,49.5967860843388,14.10032,13.7212705196313,-4.73654279106671,NA
"18467466","2019-10-03",39.506983089158,0.763779527559055,0.694502472905173,0.63331488325864,15.3714091717776,12.5507908282224,13.9611,0.513791302211758,49.5967860843388,14.06032,13.7584344503471,-4.20132780836883,NA
"18467465","2019-10-04",38.4427512302295,0.791836734693878,0.738493402610388,0.697619940364597,15.2783486728673,12.5638513271327,13.9211,0.529066154779624,49.5967860843388,14.01548,13.7906431903008,-3.7336817322666,NA
"18467464","2019-10-07",37.4545359326531,0.83982683982684,0.798481034026591,0.743825636514051,15.2197210483424,12.566812284991,13.8932666666667,0.540232568419917,49.5967860843388,13.93548,13.8185574315941,-3.32440031776392,NA
"18467463","2019-10-08",36.5369074420464,0.83982683982684,0.823830138115853,0.786934858250944,15.1558580757724,12.5736752575609,13.8647666666667,0.55237171139842,49.5967860843388,13.92948,13.8427497740482,-2.96558618717752,NA
"18467462","2019-10-09",35.6848238436259,0.83982683982684,0.83982683982684,0.820712670656428,15.0638650802427,12.5950015864239,13.8294333333333,0.569087119273182,49.5967860843388,13.90668,13.8637164708418,-2.65046033661993,NA
"18467461","2019-10-10",34.8936033593782,1,0.893217893217893,0.852291623720195,14.93717209944,12.6383612338933,13.7877666666667,0.592323094741793,49.5967860843388,13.88388,13.8818876080629,-2.37320076629063,-3.93218284522591
"18467460","2019-10-11",35.861408247455,0.22680412371134,0.68887698784606,0.807307240296931,14.7490224501027,12.6184108832307,13.6837166666667,0.14108114376317,36.5415310923355,13.79388,13.6976359269878,-2.9951935319547,-3.74478498257167
"18467459","2019-10-14",36.7600842149549,0.561855670103093,0.596219931271478,0.726104937445144,14.6117866923414,12.612846640992,13.6123166666667,0.279724926533229,43.4839441642418,13.73948,13.6246178033894,-3.0786133948976,-3.61155066503685
"18467458","2019-10-15",37.5945690419191,0.477333333333333,0.421997709049255,0.569031542722264,14.4726117225294,12.6232882774706,13.54795,0.320501924156682,44.1520471029456,13.68812,13.5701354296042,-3.07270925193103,-3.50378238241569
"18467457","2019-10-16",38.3694478098144,0.477333333333333,0.505507445589919,0.507908361970217,14.4593265808328,12.5915067525005,13.5254166666667,0.334343408302425,44.1520471029456,13.62936,13.5229173723236,-3.03475437538994,-3.40997678101054
"18467456","2019-10-17",39.0889780942886,0.477333333333333,0.477333333333333,0.468279495990836,14.4599045482294,12.583528785104,13.5217166666667,0.337070658940164,44.1520471029456,13.568,13.4819950560138,-2.97179063669567,-3.32233955214756
"18467455","2019-10-18",40.3400547052392,0.0666666666666664,0.340444444444444,0.441095074455899,14.4686515212591,12.5216151454076,13.4951333333333,0.207178899991529,38.8046099873394,13.472,13.364395715212,-3.25645029000138,-3.30916169971833
"18467454","2019-10-21",41.5017687011218,0.666666666666667,0.403555555555555,0.407111111111111,14.4746386740057,12.540627992661,13.5076333333333,0.496053106941463,48.5996724329528,13.428,13.382476286517,-2.90886998987494,-3.22910335774965
"18467453","2019-10-22",42.8808447270225,0.426666666666667,0.386666666666667,0.376888888888888,14.4746155088314,12.5416511578352,13.5081333333333,0.37163067275118,45.4648770548205,13.3736,13.3501461149814,-2.81798197322419,-3.14687908084456
"18467452","2019-10-23",44.1614153225016,0.546666666666667,0.546666666666667,0.445629629629629,14.3954544592734,12.7071455407266,13.5513,0.362999006011825,47.2954158376383,13.3664,13.3461266329839,-2.60770497610106,-3.03904425989586
"18467451","2019-10-24",45.4836770560564,0.44,0.471111111111111,0.468148148148148,14.3942232281818,12.7110434384848,13.5526333333333,0.26673119785735,45.8230399511379,13.3708,13.3213097485861,-2.50904346080062,-2.93304410007681
"18467450","2019-10-25",46.6744081486362,0.446666666666667,0.477777777777778,0.498518518518518,14.3932908765583,12.7141091234417,13.5537,0.271495849518474,45.9363243013738,13.3776,13.3011351154412,-2.39765519687866,-2.82596631943718
"18467449","2019-10-28",47.4701413276193,0.493333333333333,0.46,0.469629629629629,14.3396482828193,12.692085050514,13.5158666666667,0.334583991685711,46.7753035178868,13.3772,13.2929837667157,-2.24140632355031,-2.70905432025981
"18467448","2019-10-29",48.2623492350816,0.46,0.466666666666667,0.468148148148148,14.2793666362631,12.6713666970702,13.4753666666667,0.32253316078488,46.2235243042085,13.3748,13.2792525978203,-2.12359147106591,-2.59196175042103
"18467447","2019-10-30",48.9979708634394,0.548926014319809,0.500753115884381,0.475806594183682,14.2101690277563,12.6595643055771,13.4348666666667,0.342083115597287,46.2235243042085,13.42,13.2673522514443,-2.00729829212722,-2.47502905876227
"18467446","2019-10-31",49.6810480897717,0.605128205128205,0.538018073149338,0.501812618566795,14.1310141747132,12.6577191586202,13.3943666666667,0.361285985200282,46.2235243042085,13.4396,13.2570386179184,-1.89348209487868,-2.35871966598555
"18467445","2019-11-01",50.3153340856517,0.605128205128205,0.586394141525406,0.541721776853041,14.0402217869296,12.6675115464038,13.3538666666667,0.380625450419964,46.2235243042084,13.44752,13.2481001355293,-1.78287100305689,-2.24354993339982
"18467444","2019-11-04",50.9043139389689,0.605128205128205,0.605128205128205,0.57651347326765,13.9349735771102,12.6917597562232,13.3133666666667,0.400767941448194,46.2235243042084,13.41512,13.240353450792,-1.67600528982361,-2.13004100468458
"18467443","2019-11-05",51.4512238027633,0.605128205128205,0.605128205128205,0.598883517260605,13.8100677008346,12.7356656324987,13.2728666666667,0.42287182879774,46.2235243042085,13.38272,13.2336396573531,-1.57327064575257,-2.01868693289817
"18467442","2019-11-06",51.9590686762868,0.605128205128205,0.605128205128205,0.605128205128205,13.6538553985577,12.8108779347756,13.2323666666667,0.449741637840954,46.2235243042084,13.35032,13.2278210363727,-1.47492625363524,-1.90993479704559
"18467441","2019-11-07",53.006703141673,0.135220125786163,0.448492178680858,0.552916196312423,14.4984246536918,12.1496420129749,13.3240333333333,1.56834066145603,59.2922585660088,13.35032,13.330778231523,-0.89472129260818,-1.70689209615811
"18467440","2019-11-08",54.580197150648,0.746049661399549,0.495465997437972,0.516362127082345,17.0303297148526,10.375836951814,13.7030833333333,1.52140266864803,85.7557744141211,13.58032,14.1866744673199,2.87579905429769,-0.790353866066948
"18467439","2019-11-11",56.3190850062813,0.467741935483871,0.449670574223194,0.464542916780675,18.330045621705,9.75492104496169,14.0424833333333,1.19007938178713,71.3374983282312,13.74392,14.7071178716773,4.71775449375063,0.311267805896567
"18467438","2019-11-12",57.9337665865122,0.468690702087287,0.560827432990235,0.501988001550467,19.297748933271,9.438951066729,14.36835,1.04418230355859,71.3687279843809,13.90792,15.1595021554536,6.03993621990977,1.45700148869921
"18467437","2019-11-13",59.4331137681551,0.646723646723647,0.527718761431601,0.512738922881677,20.3370862842599,9.14144704907348,14.7392666666667,1.02655025254291,76.5431840349206,14.14712,15.8022352013931,7.89306221247064,2.74421363345349
"18467436","2019-11-14",60.8253647225379,0.657469077069458,0.59096114196013,0.559835778793989,21.1694762246898,9.03085710864352,15.1001666666667,0.939410223052672,76.8310160698034,14.39112,16.3752705078741,9.21069272195996,4.03750945115479
"18467435","2019-11-15",62.14513824132,0.663177925784967,0.655790216526024,0.591490039972585,21.8984202791473,9.06174638751941,15.4800833333333,0.892878251997134,76.9830959154767,14.69752,16.8799011068242,10.0872951961955,5.24746660016292
"18467434","2019-11-18",63.6452621627139,0.757373929590866,0.69267364414843,0.646475000878195,22.7949926730744,8.99184066025899,15.8934166666667,0.925500638879225,79.3872844046958,15.01752,17.4492476259143,11.042538326193,6.40648094536894
"18467433","2019-11-19",65.0382343754367,0.849666983824929,0.75673961306692,0.701734491247125,23.6664851654672,9.02311483453282,16.3448,0.905840085469413,81.4335911609363,15.37368,18.0720146091257,12.0115123836429,7.52748723302374
"18467432","2019-11-20",66.3850984806355,0.82407231208373,0.810371075166508,0.753261444127286,24.4009620110886,9.18003798891144,16.7905,0.857632689846473,79.0887393096749,15.71908,18.575879327909,12.4411021197356,8.51021021036611
"18467431","2019-11-21",66.3573995932978,0.743101807802093,0.805613701236917,0.790908129823448,24.8635295973566,9.53480373597678,17.1991666666667,0.7697006068249,72.0231869409682,16.03044,18.8990954175211,12.2353360011571,9.25523536852431
"18467430","2019-11-22",64.1314459774336,0.567078972407231,0.711417697431018,0.775800824611481,25.0287544654115,10.0211122012552,17.5249333333333,0.643953324711092,59.5651276057572,16.29244,18.9325493618516,11.1560567200135,9.63539963882215
"18467429","2019-11-25",62.0644890484168,0.590865842055185,0.633682207421503,0.716904535363146,25.1135918686465,10.5552747980202,17.8344333333333,0.609827254911629,60.5579922331474,16.52844,18.9948761136047,10.287737944589,9.76586729997553
"18467428","2019-11-26",60.1505505745112,0.561855670103093,0.573266828188503,0.639455577680341,25.1350368320936,11.1618298345731,18.1484333333333,0.594578622280567,60.7654916380561,16.78084,19.0555592984574,9.51039378033758,9.71477259604794
