"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"18553585","2013-10-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18553584","2013-10-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18553583","2013-10-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18553582","2013-10-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18553581","2013-10-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18553580","2013-10-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18553579","2013-10-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18553578","2013-10-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18553577","2013-10-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18553576","2013-10-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18553575","2013-11-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18553574","2013-11-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18553573","2013-11-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18553572","2013-11-06",NA,0.819396551724138,NA,NA,NA,NA,NA,NA,NA,NA,31.6421428571429,NA,NA
"18553571","2013-11-07",NA,0.718508092892329,NA,NA,NA,NA,NA,NA,78.685141509434,NA,32.5911904761905,NA,NA
"18553570","2013-11-08",NA,0.7059902200489,0.747964954888456,NA,NA,NA,NA,NA,79.5549464891673,NA,33.5923650793651,NA,NA
"18553569","2013-11-11",NA,0.700784151877837,0.708427488273022,NA,NA,NA,NA,NA,82.6454697300245,NA,35.1840497354497,NA,NA
"18553568","2013-11-12",NA,0.749005744586832,0.71859337217119,0.724995271777556,NA,NA,NA,NA,83.4255982069443,NA,36.7728431040564,NA,NA
