"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"18637683","2012-07-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18637682","2012-07-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18637681","2012-07-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18637680","2012-07-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18637679","2012-07-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18637678","2012-07-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18637677","2012-07-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18637676","2012-07-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18637675","2012-07-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18637674","2012-07-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18637673","2012-07-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18637672","2012-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18637671","2012-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18637670","2012-08-01",NA,0.67175572519084,NA,NA,NA,NA,NA,NA,NA,NA,24.69,NA,NA
"18637669","2012-08-02",NA,0.714285714285715,NA,NA,NA,NA,NA,NA,49.3449781659389,NA,24.7233333333333,NA,NA
"18637668","2012-08-03",NA,0.737288135593221,0.707776525023259,NA,NA,NA,NA,NA,48.6584961907917,NA,24.7482222222222,NA,NA
"18637667","2012-08-06",NA,0.774774774774775,0.742116208217904,NA,NA,NA,NA,NA,48.4167025834749,NA,24.7684592592593,NA,NA
"18637666","2012-08-07",NA,0.584615384615387,0.698892764994461,0.716261832745208,NA,NA,NA,NA,45.4951281595494,NA,24.7699980246914,NA,NA
"18637665","2012-08-08",NA,0.707692307692307,0.689027489027489,0.710012154079951,NA,NA,NA,NA,47.7583746224798,NA,24.7819982880658,NA,NA
"18637664","2012-08-09",NA,0.692307692307694,0.661538461538463,0.683152905186804,25.1890025694034,24.4646640972633,24.8268333333333,0.587206008097347,47.4929018837024,NA,24.7910651829904,NA,NA
"18637663","2012-08-10",NA,0.425000000000002,0.608333333333334,0.652966427966429,25.1547796761396,24.4735536571937,24.8141666666667,0.542814962810433,46.6550353324267,NA,24.7949231585917,NA,NA
"18637662","2012-08-13",NA,0.0540540540540528,0.390453915453916,0.553441903441904,25.103369406257,24.4872972604097,24.7953333333333,0.437236788049417,43.359858837188,NA,24.7822667374461,NA,NA
"18637661","2012-08-14",NA,0,0.159684684684685,0.386157311157312,25.0629812227694,24.4890187772306,24.776,0.321126508424638,41.2672910123915,NA,24.7606311724533,NA,NA
"18637660","2012-08-15",NA,0.0697674418604596,0.041273831971504,0.197137477370035,25.0274424714352,24.5518908618981,24.7896666666667,0.276400013792759,42.3900971492589,NA,24.7458803494595,NA,NA
"18637659","2012-08-16",NA,0.0697674418604596,0.046511627906973,0.0824900481877206,25.027920364863,24.549079635137,24.7885,0.30125611553317,42.3900971492589,24.7336,24.7330963028649,NA,NA
"18637658","2012-08-17",NA,0,0.046511627906973,0.0447656959284833,25.0254381258656,24.5545618741344,24.79,0.195602968282334,40.8795007519696,24.7188,24.7153501291496,-0.0607529234614712,NA
"18637657","2012-08-20",NA,0,0.0232558139534865,0.0387596899224775,25.0104014340198,24.5795985659802,24.795,0.0860442291276718,39.66182570951,24.6992,24.6946367785963,-0.10580408400952,NA
"18637656","2012-08-21",59.83788686702,0.113636363636365,0.0378787878787883,0.0358820765797493,25.0139727619497,24.5693605713836,24.7916666666667,0.173873089679864,41.9879799405997,24.6844,24.6833518747835,-0.123772363420926,NA
"18637655","2012-08-22",59.7583735626168,0.250000000000006,0.121212121212124,0.0607822410147995,25.0145364553668,24.5664635446332,24.7905,0.290584676989995,44.741035723723,24.7096,24.6815716248123,-0.117055151950585,NA
"18637654","2012-08-23",58.4007009929656,0.29545454545455,0.219696969696974,0.126262626262629,25.0144628498214,24.5658704835119,24.7901666666667,0.395599352885522,45.6666434826629,24.7152,24.6826954081707,-0.103994213515257,NA
"18637653","2012-08-24",57.1400050354324,0.363636363636363,0.303030303030306,0.214646464646468,25.0147667436317,24.5672332563682,24.791,0.438179672685882,47.0980784928691,24.724,24.6876693537479,-0.0828807432436518,NA
"18637652","2012-08-27",55.9693587891515,0.51162790697675,0.390239605355888,0.304322292694389,25.015620710629,24.568379289371,24.792,0.502981238476507,49.9387528062703,24.7392,24.6999801065816,-0.0460142674316488,NA
"18637651","2012-08-28",55.1089311758746,0.439024390243902,0.438096220285672,0.377122042890622,25.0104294086401,24.5662372580266,24.7883333333333,0.473735090432061,48.0849949832354,24.7428,24.7053160923707,-0.0295307202222928,NA
"18637650","2012-08-29",53.6188001717494,0.705882352941183,0.552178216720612,0.460171347454057,24.9924348960754,24.5722317705912,24.7823333333333,0.62136987306138,51.0219209251208,24.7476,24.7179406133879,0.00308393478993807,-0.0740800591628239
