"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"18684418","2016-07-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18684417","2016-07-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18684416","2016-07-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18684415","2016-07-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18684414","2016-07-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18684413","2016-07-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18684412","2016-07-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18684411","2016-07-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18684410","2016-07-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18684409","2016-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18684408","2016-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18684407","2016-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18684406","2016-08-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18684405","2016-08-05",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,11.1878571428571,NA,NA
"18684404","2016-08-08",NA,0,NA,NA,NA,NA,NA,NA,31.58953722334,NA,11.0188095238095,NA,NA
"18684403","2016-08-09",NA,0,0,NA,NA,NA,NA,NA,28.9544616257625,NA,10.8163015873016,NA,NA
"18684402","2016-08-10",NA,0.18,0.0599999999999999,NA,NA,NA,NA,NA,35.1921717749883,NA,10.7007947089947,NA,NA
"18684401","2016-08-11",NA,0.2,0.126666666666667,0.0622222222222222,NA,NA,NA,NA,35.8659534531974,NA,10.6073554144621,NA,NA
"18684400","2016-08-12",NA,0.396,0.258666666666667,0.148444444444444,NA,NA,NA,NA,42.2072208617544,NA,10.5917080258671,NA,NA
"18684399","2016-08-15",NA,0.4,0.332,0.239111111111111,12.3837273471951,9.69307265280486,11.0384,0.329632542237503,42.3325369627913,NA,10.5794802890849,NA,NA
"18684398","2016-08-16",NA,0,0.265333333333333,0.285333333333333,12.3440808016963,9.39638586497034,10.8702333333333,-0.133342337003697,27.6668248366386,NA,10.2662162505402,NA,NA
