"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"19063658","2014-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19063657","2014-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19063656","2014-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19063655","2014-08-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19063654","2014-08-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19063653","2014-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19063652","2014-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19063651","2014-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19063650","2014-08-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19063649","2014-08-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19063648","2014-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19063647","2014-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19063646","2014-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19063645","2014-08-18",NA,0.0671641791044775,NA,NA,NA,NA,NA,NA,NA,NA,29.076,NA,NA
"19063644","2014-08-19",NA,0.235074626865671,NA,NA,NA,NA,NA,NA,43.436754176611,NA,29.0925333333333,NA,NA
"19063643","2014-08-20",NA,0.432584269662921,0.244941025211023,NA,NA,NA,NA,NA,45.4013822434875,NA,29.1255288888889,NA,NA
"19063642","2014-08-21",NA,0.545454545454546,0.404371147327713,NA,NA,NA,NA,NA,45.5468696893481,NA,29.1554583703704,NA,NA
"19063641","2014-08-22",NA,0.516853932584268,0.498297582567245,0.382536585035327,NA,NA,NA,NA,47.6500330273237,NA,29.2000639209877,NA,NA
"19063640","2014-08-25",NA,0.702247191011236,0.588185223016683,0.496951317637214,NA,NA,NA,NA,52.3243421876047,NA,29.282722064856,NA,NA
"19063639","2014-08-26",NA,0.774999999999998,0.664700374531834,0.583727726705254,30.3165012054239,28.5697654612428,29.4431333333333,0.858878936756708,54.5745366527619,NA,29.3770257895418,NA,NA
"19063638","2014-08-27",NA,0.649999999999999,0.709082397003744,0.653989331517421,30.2607036419104,28.5977296914229,29.4292166666667,0.806148311293398,51.4952087400356,NA,29.4320890176029,NA,NA
"19063637","2014-08-28",NA,0.720876585928488,0.715292195309495,0.696358322281691,30.1908614784165,28.6413718549168,29.4161166666667,0.980943308922255,54.404340336577,NA,29.5078104819225,NA,NA
"19063636","2014-08-29",NA,0.857142857142857,0.742673147690448,0.722349246667896,30.3364235743575,28.5968097589759,29.4666166666667,0.998223605149122,57.6599720131407,NA,29.6067690843329,NA,NA
