"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"19116776","2021-01-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19116775","2021-01-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19116774","2021-01-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19116773","2021-01-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19116772","2021-01-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19116771","2021-01-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19116770","2021-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19116769","2021-01-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19116768","2021-01-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19116767","2021-01-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19116766","2021-01-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19116765","2021-01-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19116764","2021-01-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19116763","2021-01-29",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,23.2632785714286,NA,NA
"19116762","2021-02-01",NA,0,NA,NA,NA,NA,NA,NA,10.7671601615074,NA,22.4468414285714,NA,NA
"19116761","2021-02-02",NA,0,0,NA,NA,NA,NA,NA,9.88593155893537,NA,21.5752625714286,NA,NA
"19116760","2021-02-03",NA,0,0,NA,NA,NA,NA,NA,9.74625144175318,NA,20.7932275619048,NA,NA
"19116759","2021-02-04",NA,0,0,0,NA,NA,NA,NA,9.5929858113758,NA,20.0874638869841,NA,NA
"19116758","2021-02-05",NA,0,0,0,NA,NA,NA,NA,9.23477082468144,NA,19.4116687020529,NA,NA
"19116757","2021-02-08",NA,0.0585483517286748,0.0195161172428916,0.0065053724142972,31.3218433785002,12.7066899548331,22.0142666666667,0.214877450687462,14.9315648397096,NA,18.9327795417792,NA,NA
"19116756","2021-02-09",NA,0,0.0195161172428916,0.0130107448285944,30.1072168337521,12.4276431662479,21.26743,0.179059191506644,13.855879843388,NA,18.3950756028753,NA,NA
"19116755","2021-02-10",NA,0,0.0195161172428916,0.0195161172428916,29.0277805318968,12.0890728014365,20.5584266666667,0.169095575499311,13.4586461645104,NA,17.8823988558253,NA,NA
"19116754","2021-02-11",NA,0,0,0.0130107448285944,27.735344066699,11.9348425999677,19.8350933333333,0.166987784465013,12.7075995117809,NA,17.3487456750486,NA,NA
"19116753","2021-02-12",NA,0.171471172962227,0.0571570576540755,0.0255577249656557,26.6949458339625,12.4626541660375,19.5788,0.732419819931144,33.3367374476808,NA,17.3462462517087,NA,NA
"19116752","2021-02-16",NA,0.427767354596623,0.19974617585295,0.0856344111690085,27.0408509926026,12.2638156740641,19.6523333333333,1.00174701308535,52.9966666160154,20.177796,18.1000800848143,NA,NA
"19116751","2021-02-17",NA,0.123358348968105,0.240865625508985,0.165922953005337,26.4455757929254,12.3400908737412,19.3928333333333,0.490819174190611,38.867219255584,19.686196,17.888069406839,-12.3349363991271,NA
"19116750","2021-02-18",NA,0.172138836772983,0.24108818011257,0.227233327158168,26.0757476054003,12.3759190612664,19.2258333333333,0.538260819467781,41.5562041497369,19.247992,17.8429934859272,-11.5333210467335,NA
"19116749","2021-02-19",34.0565606398696,0.143996247654784,0.146497811131957,0.209483872251171,25.8226825575879,12.2963207757454,19.0595016666667,0.448778909571231,40.4507434341601,18.797992,17.7239276878035,-11.044881752904,NA
"19116748","2021-02-22",32.0527233042629,0.0318949343339587,0.116010006253909,0.167865332499479,25.4795878610382,11.9707554722951,18.7251716666667,0.268163654473714,36.3075456248025,18.29964,17.3020706627631,-11.6310409647988,NA
"19116747","2021-02-23",29.9533556987871,0,0.0586303939962476,0.107046070460705,24.822131295444,11.465878704556,18.144005,0.103131819303645,32.4978970295412,17.80436,16.5977945743947,-13.2085537736475,NA
"19116746","2021-02-24",27.9609941838825,0.0422778257118206,0.0247242533485931,0.0664548845329165,24.2192688181411,11.1122411818589,17.665755,0.186243000260192,35.3178975998199,17.39316,16.118088631142,-13.9309317050802,NA
"19116745","2021-02-25",26.361217923021,0,0.0140926085706069,0.0324824186384826,24.0249593081461,10.5672173585206,17.2960883333333,0.180524289828109,33.7676832043283,16.99356,15.5690101469898,-14.9146035157628,NA
"19116744","2021-02-26",25.1259533912924,0,0.0140926085706069,0.017636490163269,23.8811511505685,9.83235884943145,16.856755,0.120601670301445,32.2435448641535,16.59556,14.9598087940578,-16.1349784068216,NA
"19116743","2021-03-01",23.7288795480882,0.0026570247933884,0.000885674931129498,0.00969029735744777,23.799221427822,9.2202419055113,16.5097316666667,0.180119472043301,32.4546574804094,16.170932,14.4404076215168,-16.9912103212177,-13.5249397651215
"19116742","2021-03-02",22.4315966936842,0.0206611570247934,0.0077727272727273,0.00758367025815457,23.744781838316,8.67872816168402,16.211755,0.21159744770638,33.956264909832,15.736932,14.0483532719812,-17.3226552721114,-14.2844828665195
"19116741","2021-03-03",21.5026139579557,0,0.0077727272727273,0.00547704315886138,23.764486116966,8.08409388303399,15.92429,0.194887096660318,32.2716416705857,15.306532,13.5819061690504,-18.0030962097155,-15.0282055351587
"19116740","2021-03-04",20.9016777380609,0,0.00688705234159783,0.00747750229568416,23.8296228694365,7.42626379723017,15.6279433333333,0.179256142384805,30.7004468405851,14.908132,13.0563186798436,-18.9729890461834,-15.8171622373636
"19116739","2021-03-05",20.7178652712337,0,3.00685402502647e-17,0.00488659320477507,23.9623662393234,6.57418709400998,15.2682766666667,0.137208898416087,28.5000420917943,14.448132,12.4221428558645,-20.4824126583206,-16.750212321555
"19116738","2021-03-08",20.4620639098377,0.077109896782028,0.0257032989273427,0.0108634504229802,23.9904477306682,5.98250560266508,14.9864766666667,0.216246866872478,33.3740360697133,14.118932,12.0418571417492,-20.7835037450839,-17.5568706062608
"19116737","2021-03-09",19.6266966613337,0.116719242902208,0.0646097132280788,0.0301043373851405,23.8378414239082,5.54044524275843,14.6891433333333,0.285262160012626,35.535311163829,13.839332,11.7896095228493,-20.4863996098786,-18.1427764069844
"19116736","2021-03-10",18.8509985020085,0.151937984496124,0.11525570806012,0.0685229067385139,23.7437497480642,5.14553691860245,14.4446433333333,0.298834972246725,35.9596081035101,13.613332,11.5856615864694,-19.9990460984553,-18.5140303452786
