"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"19483048","2015-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19483047","2015-08-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19483046","2015-08-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19483045","2015-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19483044","2015-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19483043","2015-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19483042","2015-08-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19483041","2015-08-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19483040","2015-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19483039","2015-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19483038","2015-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19483037","2015-08-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19483036","2015-08-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19483035","2015-08-20",NA,0.349228130360206,NA,NA,NA,NA,NA,NA,NA,NA,24.7775714285714,NA,NA
"19483034","2015-08-21",NA,0.334811529933481,NA,NA,NA,NA,NA,NA,44.3726937269373,NA,24.7405619047619,NA,NA
"19483033","2015-08-24",NA,0.00221729490022208,0.22875231839797,NA,NA,NA,NA,NA,38.6178359683795,NA,24.508486984127,NA,NA
"19483032","2015-08-25",NA,0.288248337028825,0.208425720620843,NA,NA,NA,NA,NA,45.2001866146408,NA,24.4793553862434,NA,NA
"19483031","2015-08-26",NA,0.268888888888889,0.186451506939312,0.207876515319375,NA,NA,NA,NA,44.8787726442879,NA,24.4434413347443,NA,NA
"19483030","2015-08-27",NA,0.400977995110025,0.319371740342579,0.238082989300911,NA,NA,NA,NA,47.0579300003322,NA,24.4696491567784,NA,NA
"19483029","2015-08-28",NA,0.418092909535453,0.362653264511455,0.289492170597782,26.5194020852172,24.0149979147828,25.2672,0.411941796002085,47.4223357901832,NA,24.5016959358746,NA,NA
"19483028","2015-08-31",NA,0.303178484107579,0.374083129584352,0.352036044812796,26.2493035706627,24.0564297626706,25.1528666666667,0.187077296696647,45.1740186132016,NA,24.4668031444246,NA,NA
"19483027","2015-09-01",NA,0.246943765281174,0.322738386308068,0.353158260134625,26.2462004622376,23.9481995377624,25.0972,0.154540318843448,44.0728336490787,NA,24.4058960585014,NA,NA
"19483026","2015-09-02",NA,0.447432762836185,0.332518337408313,0.343113284433578,26.220518386809,23.9495482798577,25.0850333333333,0.588787312838746,48.8592385662826,NA,24.4624432507012,NA,NA
"19483025","2015-09-03",NA,0.398533007334963,0.364303178484107,0.339853300733496,26.1991988737968,24.0395344595365,25.1193666666667,0.443185617547886,47.7850525002567,NA,24.4847841506077,NA,NA
"19483024","2015-09-04",NA,0.449877750611247,0.431947840260799,0.376256452051073,26.1840964955938,24.0303035044062,25.1072,0.476537516121513,49.0516451613998,24.59144,24.53214626386,NA,NA
"19483023","2015-09-08",NA,0.545232273838631,0.464547677261614,0.420266232002173,26.128986496863,24.048413503137,25.0887,0.667245594226183,51.4090155048105,24.57184,24.6251934286787,0.134796092814127,NA
"19483022","2015-09-09",NA,0.485714285714286,0.493608103388055,0.463367873636822,26.1437349280629,24.0569984052705,25.1003666666667,0.5860833801351,49.148385518199,24.58224,24.6578343048548,0.196221011233222,NA
"19483021","2015-09-10",26.0720838347207,0.493506493506493,0.50815101768647,0.488768932778713,26.1323507525144,24.0567159141523,25.0945333333333,0.592566057276696,49.3482740521629,24.59584,24.6901230642075,0.251704319203805,NA
"19483020","2015-09-11",25.3486047663755,0.523076923076923,0.500765900765901,0.500841673946808,25.9927911167214,24.1056088832786,25.0492,0.544581456863252,47.9938272711058,24.66424,24.6914399889799,0.227684962033847,NA
"19483019","2015-09-14",23.9980338054738,0.698795180722891,0.571792865768769,0.526903261407046,26.1204831627755,24.0602501705578,25.0903666666667,0.941519642083866,54.9800018916981,24.72624,24.8325813237825,0.544205150808463,NA
"19483018","2015-09-15",23.2322842634521,0.55849655902594,0.593456220941918,0.555338329158862,26.4080941244802,23.9262392088531,25.1671666666667,1.10794582464628,57.1637048060759,24.75264,25.0042371472782,0.902151016426034,NA
