"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"19498373","2016-06-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19498372","2016-06-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19498371","2016-06-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19498370","2016-06-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19498369","2016-06-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19498368","2016-06-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19498367","2016-06-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19498366","2016-06-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19498365","2016-06-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19498364","2016-06-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19498363","2016-06-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19498362","2016-06-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19498361","2016-06-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19498360","2016-06-22",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3.835,NA,NA
"19498359","2016-06-23",NA,0,NA,NA,NA,NA,NA,NA,35.1931330472103,NA,3.79833333333333,NA,NA
"19498358","2016-06-24",NA,0.121405750798722,0.040468583599574,NA,NA,NA,NA,NA,44.8750351024993,NA,3.81722222222222,NA,NA
"19498357","2016-06-27",NA,0.169329073482428,0.0969116080937167,NA,NA,NA,NA,NA,48.1668799382528,NA,3.85359259259259,NA,NA
"19498356","2016-06-28",NA,0.399361022364217,0.230031948881789,0.122470713525027,NA,NA,NA,NA,60.3930052280512,NA,3.98111358024691,NA,NA
"19498355","2016-06-29",NA,0.408256880733945,0.32564899219353,0.217530849723012,NA,NA,NA,NA,53.5869535013666,NA,4.04363176954733,NA,NA
"19498354","2016-06-30",NA,0.516304347826087,0.44130741697475,0.332329452683356,5.0231588763021,3.35140779036456,4.18728333333333,0.774791706251955,54.507159565623,NA,4.10581420027435,NA,NA
"19498353","2016-07-01",NA,0.565217391304348,0.496592873288127,0.421183094152136,5.04631880249641,3.34258119750359,4.19445,0.81629479313841,55.9189583574007,NA,4.17170564023777,NA,NA
"19498352","2016-07-05",NA,0.461956521739131,0.514492753623188,0.484131014628688,5.07927034377693,3.35062965622307,4.21495,0.688037920396267,52.2336335944714,NA,4.2034782215394,NA,NA
"19498351","2016-07-06",NA,0.483695652173913,0.503623188405797,0.504902938439037,5.10792940694187,3.38023725972479,4.24408333333333,0.65815896393356,52.9368496234198,NA,4.23634779200081,NA,NA
"19498350","2016-07-07",NA,0.467391304347826,0.471014492753623,0.496376811594203,5.13743250692784,3.40940082640549,4.27341666666667,0.661985841938995,52.3147829568297,NA,4.26083475306737,NA,NA
"19498349","2016-07-08",NA,0.483695652173913,0.478260869565218,0.484299516908213,5.08320744921467,3.42862588411866,4.25591666666667,0.667665754604592,52.9106999320299,4.0552,4.28605678599172,NA,NA
"19498348","2016-07-11",NA,0.467391304347826,0.472826086956522,0.474033816425121,5.04905146214435,3.43878187118898,4.24391666666666,0.663171435066419,52.2080737220051,4.062,4.30391588119283,6.43648444261435,NA
