"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"19529858","2017-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19529857","2017-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19529856","2017-08-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19529855","2017-09-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19529854","2017-09-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19529853","2017-09-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19529852","2017-09-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19529851","2017-09-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19529850","2017-09-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19529849","2017-09-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19529848","2017-09-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19529847","2017-09-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19529846","2017-09-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19529845","2017-09-18",NA,0.132743362831858,NA,NA,NA,NA,NA,NA,NA,NA,8.74857142857143,NA,NA
"19529844","2017-09-19",NA,0.132743362831858,NA,NA,NA,NA,NA,NA,30.6258322237017,NA,8.64209523809524,NA,NA
"19529843","2017-09-20",NA,0.247787610619469,0.171091445427729,NA,NA,NA,NA,NA,34.3001261034048,NA,8.60181587301587,NA,NA
"19529842","2017-09-21",NA,0.3,0.226843657817109,NA,NA,NA,NA,NA,34.8716279689037,NA,8.57490708994709,NA,NA
"19529841","2017-09-22",NA,0.197794117647059,0.248527242755509,0.215487448666782,NA,NA,NA,NA,34.4308216730043,NA,8.54065281128748,NA,NA
"19529840","2017-09-25",NA,0.176470588235294,0.224754901960784,0.233375267511134,NA,NA,NA,NA,34.1024542792777,NA,8.50323243644915,NA,NA
"19529839","2017-09-26",NA,0.176470588235294,0.183578431372549,0.218953525362948,10.765281820755,6.77191817924504,8.7686,0.389333060295446,34.1024542792777,NA,8.47080144492259,NA,NA
"19529838","2017-09-27",NA,0.411764705882352,0.254901960784313,0.221078431372549,10.40093775904,6.89339557429331,8.64716666666667,0.438465933703683,34.227882665605,NA,8.44402791893292,NA,NA
"19529837","2017-09-28",NA,0.630252100840335,0.406162464985994,0.281547619047619,9.96368823158974,7.10331176841026,8.5335,0.518587296934882,37.5558305730845,NA,8.45549086307519,NA,NA
"19529836","2017-09-29",NA,0.669642857142857,0.570553221288515,0.410539215686274,9.36125264738505,7.47941401928162,8.42033333333334,0.609644541381999,38.4586708881961,NA,8.4747587479985,NA,NA
"19529835","2017-10-02",NA,0.672897196261681,0.657597384748291,0.544771023674266,9.37393770438978,7.54472896227689,8.45933333333334,0.616990475211052,38.7312388385436,NA,8.49412424826537,NA,NA
"19529834","2017-10-03",NA,0.467289719626168,0.603276591010235,0.610475732349014,9.30052416105975,7.56147583894025,8.431,0.549260659164582,36.8004346445178,8.57712,8.48157434849665,NA,NA
"19529833","2017-10-04",NA,0.476635514018691,0.538940809968847,0.599938261909124,8.94975916624013,7.77590750042654,8.36283333333333,0.591294896781008,36.9542835574909,8.47912,8.47203110203043,-1.47720462636501,NA
"19529832","2017-10-05",NA,0.441176470588235,0.461700568077698,0.534639323018927,8.78805816619621,7.86690850047046,8.32748333333334,0.643498215601248,36.8576578341861,8.38072,8.46242695509304,-1.41089637916906,NA
