"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"19559662","2014-07-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19559661","2014-07-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19559660","2014-07-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19559659","2014-07-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19559658","2014-07-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19559657","2014-07-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19559656","2014-07-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19559655","2014-07-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19559654","2014-07-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19559653","2014-07-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19559652","2014-07-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19559651","2014-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19559650","2014-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19559649","2014-08-01",NA,0.400809716599188,NA,NA,NA,NA,NA,NA,NA,NA,8.03728571428571,NA,NA
"19559648","2014-08-04",NA,0,NA,NA,NA,NA,NA,NA,37.8405650857719,NA,8.01218095238095,NA,NA
"19559647","2014-08-05",NA,0,0.133603238866396,NA,NA,NA,NA,NA,37.3935721408299,NA,7.98895682539682,NA,NA
"19559646","2014-08-06",NA,0,0,NA,NA,NA,NA,NA,31.1595022346341,NA,7.94576258201058,NA,NA
"19559645","2014-08-07",NA,0.182572614107884,0.0608575380359613,0.0648202589674524,NA,NA,NA,NA,36.9203359245393,NA,7.92006090440917,NA,NA
"19559644","2014-08-08",NA,0,0.0608575380359613,0.0405716920239742,NA,NA,NA,NA,29.4425854096315,NA,7.86471945048795,NA,NA
"19559643","2014-08-11",NA,0.383177570093458,0.188583394733781,0.103432823601901,8.28162556410433,7.615007769229,7.94831666666667,0.204003301166647,41.9928995015569,NA,7.84955685708956,NA,NA
"19559642","2014-08-12",NA,0.409657320872274,0.264278296988577,0.171239743252773,8.26546070520295,7.59747262813038,7.93146666666667,0.255285053315543,42.7507443076499,NA,7.83868260947762,NA,NA
"19559641","2014-08-13",NA,0.41588785046729,0.402907580477674,0.285256424066677,8.24540277328609,7.58403056004725,7.91471666666667,0.2842112749676,42.9396431764998,NA,7.8297915948806,NA,NA
"19559640","2014-08-14",NA,0.570093457943926,0.46521287642783,0.377466251298027,8.22242468590983,7.58367531409017,7.90305,0.449823825409492,47.5522482807966,NA,7.83528604889652,NA,NA
"19559639","2014-08-15",NA,0.792079207920792,0.592686838777336,0.486935765227613,8.2208298102219,7.5837701897781,7.9023,0.629815165403808,52.3308770535526,NA,7.85524790904365,NA,NA
"19559638","2014-08-18",NA,0.71255060728745,0.691574424384056,0.583158046529741,8.21134119984584,7.57925880015416,7.8953,0.439406634295335,47.1376840802144,7.92544,7.85548152117117,NA,NA
"19559637","2014-08-19",NA,0.751012145748989,0.75188065365241,0.678713972271268,8.18887756496163,7.58092243503837,7.8849,0.485360761737262,47.9631810847033,7.91688,7.85821731834834,-0.917261817319992,NA
"19559636","2014-08-20",NA,0.742914979757085,0.735492577597842,0.726315885211436,8.16705854439554,7.58304145560446,7.87505,0.494777550077664,47.7939681803664,7.90748,7.86005500923523,-0.828431317218103,NA
"19559635","2014-08-21",15.1961889729145,0.672916666666667,0.722281264057581,0.736551498435944,8.15665958194876,7.57874041805124,7.8677,0.431305271601893,45.8766484068969,7.89712,7.85578100800387,-0.794048114608237,NA
"19559634","2014-08-22",14.5381722772705,0.69375,0.703193882141251,0.720322574598891,8.13710356500769,7.57889643499231,7.858,0.464171005842493,46.4029016033856,7.89064,7.85341020693668,-0.747946813272538,NA
"19559633","2014-08-25",13.7980246676396,0.9,0.755555555555556,0.727010233918129,8.09650160642052,7.59849839357948,7.8475,0.679717716055311,51.4371444127612,7.88824,7.86455551267846,-0.602825717365185,NA
"19559632","2014-08-26",13.2104826275671,0.69375,0.7625,0.740416479232269,8.06119261565582,7.60990738434418,7.83555,0.505428939016859,46.7120895269598,7.8784,7.86101477765467,-0.582656731944364,NA
"19559631","2014-08-27",12.9540529281133,0.602083333333332,0.731944444444444,0.75,8.04006200992482,7.61123799007518,7.82565,0.426193500049042,44.7447719526686,7.8674,7.85207947396738,-0.604929218967409,NA
"19559630","2014-08-28",12.6185780047191,0.235042735042734,0.510292022792022,0.668245489078822,8.03274185536748,7.60915814463252,7.82095,0.464705913799042,45.4199101444642,7.86064,7.84593554410506,-0.603399932231341,NA
"19559629","2014-08-29",12.813153141521,0,0.279042022792022,0.507092830009496,8.00608309547781,7.60901690452219,7.80755,0.307210984607453,41.9684201237743,7.84928,7.83061080489105,-0.671758183049465,-0.705917538441848
"19559628","2014-09-02",12.1199433845777,0.421259842519685,0.21876752585414,0.336033857146061,8.00340544352438,7.60889455647562,7.80615,0.58073287973942,48.0354323142155,7.83692,7.83159603090558,-0.608831136129462,-0.686500257979371
"19559627","2014-09-03",11.7048687541518,0.295275590551181,0.238845144356955,0.245551564334372,8.00126448853605,7.60783551146395,7.80455,0.503685544493415,46.4706981863757,7.82676,7.82818322678484,-0.585189363651784,-0.666238079113854
"19559626","2014-09-04",11.1462100672661,0.377952755905511,0.364829396325459,0.274147355512185,7.99876853749694,7.62653146250306,7.81265,0.53855070051857,47.675289386325,7.82016,7.82802546321352,-0.538618377891653,-0.640714138869414
"19559625","2014-09-05",10.7004295718075,0.849514563106794,0.507580969854495,0.370418503512303,8.00854781539237,7.63205218460763,7.8203,0.727625483518545,52.0470457898389,7.8204,7.83842206811839,-0.415542499332944,-0.59567981096212
"19559624","2014-09-08",10.9123493238527,1,0.742489106337435,0.538299824172463,7.98330522364747,7.70619477635253,7.84475,1.03859391248842,56.4154420765817,7.8202,7.85916579236927,-0.225067704858384,-0.521557389741373
"19559623","2014-09-09",10.3043461886684,0.444866920152091,0.764793827752961,0.671621301314964,7.98131089552501,7.71788910447499,7.8496,0.49392609095236,48.5183445272346,7.82016,7.85767702005337,-0.221541941371561,-0.46155430006741
"19559622","2014-09-10",10.2042387148334,0.897338403041825,0.780735107731305,0.762672680607234,7.99511028179375,7.72398971820626,7.85955,0.89631814930674,54.1517505570467,7.82532000000001,7.87225341737959,-0.0955992689723351,-0.388363293848395
"19559621","2014-09-11",10.3006077410954,1,0.780735107731305,0.775421347738524,8.01263032115878,7.72896967884123,7.87080000000001,0.944897815110781,55.4745258665232,7.83860000000001,7.88888629506231,0.0343368262167631,-0.303823269835364
"19559620","2014-09-12",10.4229147153507,1,0.965779467680608,0.842416561047739,8.03027779341899,7.72442220658102,7.87735000000001,0.907545277458115,55.7039093553157,7.84856000000001,7.90396812238733,0.140575745371074,-0.214943466794076
"19559619","2014-09-15",10.3785166208281,0.933579335793356,0.977859778597785,0.9081247846699,8.03008756493904,7.72451243506097,7.87730000000001,0.849177631185395,54.6131276775342,7.86772000000001,7.91463903940236,0.203899509231098,-0.131174871589041
"19559618","2014-09-16",9.96657201222978,0.778597785977859,0.904059040590405,0.949232762289599,8.03655512894741,7.72654487105261,7.88155000000001,0.69499354766676,52.0518886008579,7.87536000000001,7.91828716748204,0.208826450048183,-0.0631746072615964
"19559617","2014-09-17",9.83936593696481,0.354243542435424,0.688806888068879,0.85690856908569,8.03591696336813,7.72228303663188,7.87910000000001,0.33388276726893,45.7282008411439,7.87772000000001,7.9061155451511,0.0944357010989272,-0.0316525455894917
"19559616","2014-09-18",9.65977265996157,0.380073800738005,0.504305043050429,0.699056990569904,8.0352311361726,7.71916886382741,7.8772,0.363318074379895,46.1569942542817,7.88020000000001,7.89650013913096,0.0106849174407619,-0.023185052983441
"19559615","2014-09-19",9.25256509643265,0.632653061224486,0.455656801465972,0.549589577528427,8.04023429013359,7.72436570986642,7.88230000000001,0.651012170820056,51.7833686478954,7.88256000000001,7.90096678724683,0.0418549831916026,-0.0101770457484323
"19559614","2014-09-22",8.76230881196148,0.566326530612242,0.526351130858245,0.495437658458215,8.04350504761375,7.72899495238626,7.88625000000001,0.597771106449708,51.0060874796426,7.87984000000001,7.90310454894725,0.0526659029395971,0.00239154398917361
"19559613","2014-09-23",8.86845640537182,0.914285714285711,0.70442176870748,0.562143233677232,8.05067328430464,7.72682671569537,7.88875,0.803384409542832,54.9291311958271,7.88504000000001,7.91429060908762,0.131109189703893,0.0281350731321175
"19559612","2014-09-24",9.24797310839804,1,0.826870748299318,0.685881215955014,8.06839256661211,7.7277074333879,7.89805,0.869696202496467,56.8938855952643,7.89096000000001,7.92891852787594,0.228183724174591,0.0681448033406122
"19559611","2014-09-25",10.8759276290776,0.878411910669972,0.930899208318561,0.820730575108453,8.12591508852982,7.71051824480352,7.91821666666667,1.17192775025167,64.0543514157464,7.90332000000001,7.96252939082581,0.458824544054037,0.146280751483297
"19559610","2014-09-26",12.0799229743888,0.801488833746898,0.893300248138957,0.883690068252279,8.15942885631516,7.71140447701818,7.93541666666667,0.978954590975705,61.868995448796,7.91620000000001,7.98752547204904,0.602372873231949,0.237499175833028
"19559609","2014-09-29",13.3511809113845,0.868486352357318,0.849462365591396,0.891220607349638,8.18466945421901,7.73076387911433,7.95771666666667,0.983103414807712,63.0513794185318,7.92976000000001,8.0127887424425,0.734237650969249,0.336846870860272
"19559608","2014-09-30",13.196180808411,0.516129032258064,0.72870140612076,0.823821339950371,8.18993483984899,7.74519849348435,7.96756666666667,0.651625415562595,53.6321613957652,7.93368000000001,8.01575024345017,0.687587660097622,0.406995028707742
"19559607","2014-10-01",12.3883642317536,0.213399503722085,0.532671629445823,0.703611800385993,8.18435900185788,7.76147433147546,7.97291666666667,0.358314403753423,47.1192549278351,7.93668000000001,8.00205021099014,0.521791062018839,0.429954235369961
"19559606","2014-10-02",11.6382488391431,0.213399503722085,0.314309346567411,0.525227460711331,8.17993215146686,7.77450118186648,7.97721666666667,0.341608876771389,47.1192549278351,7.94144000000001,7.99017684952479,0.385845442715493,0.421132476839068
"19559605","2014-10-03",12.3991689885112,0,0.142266335814723,0.329749103942652,8.20553626907285,7.72609706426049,7.96581666666667,-0.100319422729129,37.0642523882417,7.93632000000001,7.94855326958815,0.0394615336607451,0.344798288203403
"19559604","2014-10-06",12.9183718353321,0.0416666666666661,0.0850220567962504,0.180532579726128,8.21663551815609,7.68569781517725,7.95116666666667,0.028821055157498,38.4486661131912,7.93512000000001,7.9155461669764,-0.210557984905557,0.233727033581611
"19559603","2014-10-07",13.7723583446968,0,0.0138888888888888,0.0803924271666208,8.23743896613451,7.64329436719883,7.94036666666667,-0.0190094586722832,35.8975005191808,7.92688000000001,7.87774001137955,-0.474865629021248,0.0920085010610393
"19559602","2014-10-08",14.9343322667831,0,0.0138888888888888,0.0375999448580093,8.25986893366574,7.58006439966759,7.91996666666667,-0.0309859652504914,33.3744284204497,7.91700000000001,7.83524134319561,-0.752187749801092,-0.0768307491113869
"19559601","2014-10-09",16.7739669496613,0,6.93889390390723e-17,0.00925925925925922,8.29963852416345,7.47879480916988,7.88921666666667,-0.11792111872434,28.1991214166868,7.89920000000001,7.77480916410286,-1.14424780770909,-0.290314160830927
"19559600","2014-10-10",18.8081541426973,0,6.93889390390723e-17,0.00462962962962965,8.33558245134581,7.37185088198753,7.85371666666667,-0.0828559367840341,25.9920483375061,7.87464000000001,7.71043460888914,-1.53514122543927,-0.539279573752596
"19559599","2014-10-13",19.8063860184437,0.108742004264393,0.0362473347547976,0.0120824449182659,8.34150456308198,7.30692877025136,7.82421666666667,0.0841612865408473,32.4453060958066,7.85064000000001,7.66824332770393,-1.72156697176371,-0.775737053354819
"19559598","2014-10-14",21.3775833020363,0,0.0362473347547976,0.0241648898365318,8.3644045591118,7.21212877422154,7.78826666666667,0.00943456932881016,28.0322521102272,7.82564000000001,7.60887755067674,-2.0294850675741,-1.02648665619868
"19559597","2014-10-15",21.7376668714709,0.150943396226415,0.0865618001636027,0.0530188232243993,8.3694288450408,7.16110448829254,7.76526666666667,0.170397551417031,35.9346943804739,7.80164000000001,7.5766272105865,-2.09922454467998,-1.24103423389494
"19559596","2014-10-16",23.0842913706236,0,0.0503144654088052,0.0577078667757352,8.40110278546651,7.05333054786683,7.72721666666667,0.0145940475582141,28.9461886013842,7.76468000000001,7.50947691584164,-2.44365681537699,-1.48155875019135
"19559595","2014-10-17",24.911586721615,0,0.0503144654088052,0.062396910327071,8.44011698685901,6.90631634647433,7.67321666666667,-0.0367168620168308,24.978173889026,7.71860000000001,7.42154666039609,-2.93084527961189,-1.77141605607546
"19559594","2014-10-20",25.2364240463352,0.212605832549388,0.0708686108497962,0.0571658472224688,8.43148583910837,6.83084749422496,7.63116666666667,0.153159210860274,34.7416845467819,7.68228000000001,7.37547377234327,-3.04221876501146,-2.02557659786266
"19559593","2014-10-21",25.8136926843473,0.124176857949201,0.112260896832863,0.0778146576971549,8.41120006875163,6.75063326458171,7.58091666666667,0.139329977473534,32.828014380523,7.64388000000001,7.3230106026975,-3.2003722779702,-2.26053573388417
"19559592","2014-10-22",25.6836448172739,0.296122209165688,0.210968299888093,0.131365935856917,8.36395920835926,6.70567412497408,7.53481666666667,0.238997431139446,37.5566969096534,7.61488000000001,7.29354252233784,-3.15977999008359,-2.44038458512405
"19559591","2014-10-23",25.3195791798524,0.349001175088132,0.256433414067674,0.193220870262877,8.26890030511054,6.69569969488946,7.4823,0.286867613817618,39.2828499626091,7.58740000000001,7.27400351935946,-3.04392518849494,-2.56109270579823
"19559590","2014-10-24",25.0332516816584,0.361892583120205,0.335671989124675,0.267691234360147,8.16876580072585,6.69413419927415,7.43145,0.297610467789926,38.9223603073565,7.55552000000001,7.25520305011153,-2.93465682982639,-2.63580553060386
"19559589","2014-10-27",24.4454505340578,0.47672778561354,0.395873847940626,0.329326417044325,8.04119496357299,6.72280503642701,7.382,0.352850817496788,41.205061652863,7.52636000000001,7.24624264342999,-2.75563117081085,-2.65977065864526
"19559588","2014-10-28",23.6068229225776,0.713235294117648,0.517285220950464,0.416277019338589,7.93126060930864,6.75303939069136,7.34215,0.411604036360653,43.28041427229,7.49640000000001,7.245143624306,-2.52903342144915,-2.63362321120604
"19559587","2014-11-06",23.4727507407757,1,0.729987693243729,0.547715587378273,7.90974033412544,6.76525966587456,7.3375,0.921588597680208,60.6790063505949,7.48824000000001,7.3217911410652,-1.68473714058123,-2.44384599708107
"19559586","2014-11-07",23.8226259672837,1,0.904411764705883,0.717228226300025,7.92821351214972,6.75388648785028,7.34105,1.04750507030489,64.0275546247336,7.48036000000001,7.41008565558984,-0.831749264863035,-2.12142665063747
"19559585","2014-11-10",23.8700671089493,0.950617283950617,0.983539094650206,0.872646184199939,7.97831474772509,6.72878525227491,7.35355,0.95973304519157,62.0833755493617,7.47148000000001,7.47914090151119,-0.219930459464679,-1.74112741240291
"19559584","2014-11-11",24.1938416505327,0.954778156996587,0.968465146982402,0.952138668779497,8.03531964613516,6.70034702053151,7.36783333333333,0.963555073313587,62.9699279685698,7.46316,7.54445544797637,0.301201877744273,-1.33266155437347
"19559583","2014-11-12",24.4944894391458,0.986348122866894,0.963914521271366,0.971972920967991,8.10181911615801,6.67124755050866,7.38653333333333,0.933020396561204,63.7926887430848,7.46200000000001,7.60599472157952,0.741046342555185,-0.917919974987741
"19559582","2014-11-13",25.0956142295068,1,0.980375426621161,0.97091836495831,8.1936255726219,6.63464109404476,7.41413333333333,0.947000387908086,66.0949552812915,7.46992,7.67332875870225,1.18264789687446,-0.497806400615302
"19559581","2014-11-14",25.723926535284,1,0.995449374288965,0.979913107393831,8.29160725508853,6.61185941157814,7.45173333333333,0.906172074756677,66.5960051518673,7.47876,7.73475159087528,1.53453871298568,-0.0913373778951059
"19559580","2014-11-17",24.4024684305011,0.684895833333333,0.894965277777778,0.956930026229301,8.32325462105949,6.62811204560718,7.47568333333333,0.674213467907186,53.2266800642237,7.48248,7.73958471209191,1.4175282357012,0.210435744824156
"19559579","2014-11-18",23.4958812322864,0.731589147286822,0.805494993540052,0.898636548535598,8.36137576385165,6.63629090281502,7.49883333333333,0.70762263628668,55.5056703955893,7.48872,7.75524008381299,1.39795115821377,0.447938827502079
"19559578","2014-11-19",22.2677952385267,0.639360639360639,0.685281873326931,0.795247381548254,8.38701394256716,6.6656527240995,7.52633333333333,0.643297446242137,52.7995920204758,7.49436,7.75760807263793,1.28030759228854,0.614412580459372
"19559577","2014-11-20",20.9670716293749,0.465534465534466,0.612161417393976,0.700979428086986,8.39596103555382,6.67990563111284,7.53793333333333,0.535585486639087,47.6205216457473,7.49596,7.73646032961954,0.994760966188668,0.690482257605231
"19559576","2014-11-21",19.6143717494571,0.543340380549683,0.549411828481596,0.615618373067501,8.40269366034909,6.73607300631757,7.56938333333333,0.579572196795877,50.7030959301097,7.50876,7.7318656190036,0.865681629965165,0.725522132077218
